titles,descriptions,genres,links
Jashin (Megami) ni Yobarete Isekai Ten’i ~Inmon Majutsushi no Sokuochi Haremu Raifu~,"Ookame Yuya was abruptly summoned to another world by the evil god (goddess) Elias. To have revenge on the people of the world who banished her, Elias granted Yuya a strong aphrodisiac divine protection .Having received the divine protection,  Yuya bares his poisonous fangs on Elias from the start, and makes her his s*x s*ave.
This is the story about the harem life of a man whose only redeeming point is his strong vitality with the instantly-fallen girls……","['Action', 'Adventure', 'Ecchi', 'Fantasy', 'Harem', 'Romance', 'Shounen']",https://www.novelupdates.com/series/jashin-megami-ni-yobarete-isekai-teni-inmon-majutsushi-no-sokuochi-haremu-raifu/
Release that Witch,"Chen Yan travels between worlds, ending up becoming an honorable prince in a medieval fantasy world. Yet this world was not quite as simple as he thought. Witches with magical powers abound, and fearsome wars between churches and kingdoms rage throughout the land.Roland, a prince regarded as hopeless by his own father and assigned to the worst fief, spends his time developing a poor and backward town into a strong and modern city, while fighting against his siblings for the throne and absolute control over the kingdom. Join Roland as he befriends and allies with witches and, through fighting and even farming, pushes back invaders coming from the realm of evil.","['Action', 'Drama', 'Fantasy', 'Harem', 'Mature', 'Romance']",https://www.novelupdates.com/series/release-that-witch/
The Cute Cook,"I got sent to another world.First priority: Find some food
Second priority: No seriously I’m hungry
Third priority: Feed me dammit!
Yuri may just be an adorable little girl in this world, but she’s got a big appetite for adventure(food)! ","['Action', 'Adventure', 'Fantasy', 'Horror', 'Supernatural', 'Yaoi']",https://www.novelupdates.com/series/the-cute-cook/
The Rainlands,"There were rumors of a place where the rains never ceased. Half of the month was a deafening, torrential downpour, and the other half a drizzle, at best slightly overcast. The sky was clear at most once or twice a month.How could people actually live in a place where it rained constantly? Was it some sort of divine protection, or simply the raw power of the human mind? Driven by a burning curiosity, I departed on a journey to the mountainous region known as The Rainlands.
What I would discover was nothing like what I expected–a culture at times oddly familiar and yet disturbingly foreign.","['Action', 'Fantasy', 'Martial Arts', 'School Life', 'Sci-fi', 'Supernatural']",https://www.novelupdates.com/series/the-rainlands/
Island – End of Nightmare,"When legends becomes nightmares,will humankind gain control over the earth,
or will they become an endangered species…?
The immortal world has combined with the mortal world, sending all sorts of mythical creatures. Humans will no longer be the master of the Earth, but an endangered species…
Do ghosts come out on such a brilliant day?
This teenager who had come onto the island to work, felt the Frog God Rock shake, before he heard a voice in his head.
The teenager must make a choice—— “More or less time?”
This ordinary teenager didn’t know his world was about to be changed forever. Later, he’d realise that there were students around the serene school grounds carrying weapons that eliminated “unknown” things and that more monsters were appearing around him everyday. No defense, nowhere to hide.
Had he messed with something he shouldn’t have?
Everything began on that sunny summer day, with the decision of a teenager that forced the future into a different direction…","['Action', 'Adventure', 'Fantasy']",https://www.novelupdates.com/series/island-end-of-nightmare/
Everyone Else is a Returnee,"Fantasy World Yu Illhan was always the one left behind. Left out of cliques in school. Left out of social invitations. Just…always left out. Except now he’s been left behind for real.When Earth’s future is threatened, Yu Illhan stays behind while the rest of the population flees to other planets for safety.
It’s up to Yu Illhan to save our planet before it’s too late!","['Action', 'Adventure', 'Fantasy', 'Harem', 'Seinen']",https://www.novelupdates.com/series/everyone-else-is-a-returnee/
Tempest of the Battlefield,"Having a rough life growing up, Wang Tong had numerous dreams of living a better life. However, his alcoholic foster father sells him off as a space settler of the distant planet Norton for some pocket change. Soon after his arrival, the Zergs overran the planet and obliterated its defenses in a matter of minutes. What awaited Tong on Norton was more than just an unbearable environment – its gravity alone was five-times stronger than earth – there were also swarms of bugs, constant hunger, thirst, and desolation.While he lives a year of total carnage and survival, humanity’s Confederation eventually overcomes the Zergs on Norton and the powerful survivor Wang Tong is given a recommendation to a once famous, but now dying military academy where he begins his life anew.","['Action', 'Adventure', 'Fantasy', 'Harem', 'Romance', 'Shounen']",https://www.novelupdates.com/series/tempest-of-the-battlefield/
The Book Eating Magician,"[‘Lightning Magic Primer’ has been consumed. Your understanding is very high.][The 2nd Circle magic ‘Lightning Bolt’ has been acquired.]
The unprecedented magician who will eat all the magic books of the world has appeared.","['Comedy', 'Fantasy', 'Slice of Life']",https://www.novelupdates.com/series/the-book-eating-magician/
Dragon’s Bloodline,"A martial artist (42 years old, single) devoted himself and trained his skill with the sword and martial arts, but was involved in a large scale disaster, and saved many people before his life ended.Who would have thought that when he went to the world of the dead, a beautiful woman who introduced herself to be General Administrator would appear? He was told that it was possible to reincarnate into a world of swords and magic, and the man gained the powerful Gift [Dragon’s Bloodline].
However, he was reincarnated as a woman. Furthermore, a beautiful one. In order for him to walk down the warrior’s road to recover his symbol of being a man, he made a fresh start as a woman. Shall we go on an adventure? Let’s begin!","['Action', 'Adventure', 'Comedy', 'Fantasy', 'Harem', 'Romance']",https://www.novelupdates.com/series/dragons-bloodline/
Magic Robot Aluminare,"A boy named Eldo, who is reincarnated with memories from his previous life in Japan, likes to operate Robots. He had been living in a remote village unrelated to any machines.One day, while usually hunting using his magic, he unexpectedly fell and got lost only to discover the humanoid robot [Aluminare].
He thought that this is a fantasy world of Sword and Magic, subjects that draws out one’s preferences, Eldo’s heart began to beat so fast at the thought of becoming a pilot.","['Adventure', 'Fantasy', 'Shounen', 'Slice of Life']",https://www.novelupdates.com/series/magic-robot-aluminare/
Skill Up with Login Bonus,"The more I sleep the stronger I get.My grimoire give me new skills and magic as I wake up every day! Everyone else tries hard to memorise and understand their grimoires and gain new magic or skills, but for me, I get them automatically.
What I get all depends on my luck, but I can easily acquire the highest tier magic. While holding onto the grimoire like this, I enjoy my time in another world with my wife and friends that I've made here.","['Adventure', 'Fantasy', 'Gender Bender', 'School Life', 'Shounen', 'Slice of Life']",https://www.novelupdates.com/series/skill-up-with-login-bonus/
"In a World Where Beauty is Reversed, a Harem Only for Me","One day, Sumeragi Yuuto was suddenly transferred to a new world. This world resembles a world from a novel that Yuuto recently read. It is a world where beauty and ugliness are reversed. I, who fell was carried to a safe place. The girl who carried me was considered ugly by the people of this world. This is the story of making a harem with her and her other party members.Since I am crazy about beauty reversal in another world, I decided to use this passion in my writing.
If you read it, I will be happy.
If you give me a rating, I will cry tears of joy.
If you leave any impressions or thoughts, I will become incontinent.
Thank you for the support.","['Action', 'Adventure', 'Fantasy', 'Martial Arts', 'Shounen']",https://www.novelupdates.com/series/in-a-world-where-beauty-is-reversed-a-harem-only-for-me/
Lena’s World Map,"“Everywhere I go, every road I walk, I will draw it. This is my map”.By the king’s royal decree, the young and clever princess, Lena, set out on a grand quest escorted by knights to map the land’s remote regions. After the massacre of her assigned guards by an unknown group, Lena was assisted by the mercenary Dahl.
While it was questionable whether Dahl was trying to do his job properly, he still managed to avoid spirits, chased away bandits; he even managed to grasp the conniving conspiracy of the imperial court while escorting the princess. While the two were in the middle of their journey however, something of unimaginable might is meanwhile slowly shaking off the chains of slumber in a secluded labyrinth.
An authentic story of exploration, presented in a classic fantasy!","['Action', 'Adventure', 'Comedy', 'Fantasy', 'Shounen']",https://www.novelupdates.com/series/lenas-world-map/
Arcadia=Garden ~Age of Heaven~,"Here, the aerial city 《Arcane Garden》, is the only place in the world that the hero could save from the ruins. The existing 「Ground」, the world of living things, has only darkness and pollution, and that is starting to expand to the heavenly ocean. A group of adventurers join an airship to begin their journey to defeat the magic left by the Evil Spirit that started it all ― and they are: Gray Ackster, a magician. When he went to the cleaning request that was issued by the 《Guide Academy》, he met the girl, Syria, along the girls’ spirits group. “I’m Syria!”, “I knooow, I’m thriiiving!”. 
In his day-to-day, the adventurer even being immature, could do some works. On a simple day, when he went to a vigilance call, he finds out that what the hero destroyed was a false god that served the Evil Spirit. 
Will they be able to stop the Evil from reaching the 《Center of the Darkness》 and obtain the 《Black Shard》?","['Action', 'Adventure', 'Fantasy', 'Harem', 'Romance', 'Shounen']",https://www.novelupdates.com/series/arcadiagarden-age-of-heaven/
ReBirth ~ From the Upper World to the Lower World,"One day a man fell in a pothole on his way home. Before he noticed, he was in a strange room with a mysterious voice who claims to be [The system between worlds] proclaiming his death as well as stating “What you fell in was a hole to the lower world”.The man also discovered that the geniuses of this world, were normal people from a higher world, who fell just like him.
Now he has been given the chance to reincarnate in a lower world.","['Action', 'Adventure', 'Fantasy', 'Harem', 'Mecha', 'Mystery', 'Sci-fi', 'Seinen', 'Supernatural']",https://www.novelupdates.com/series/rebirth-from-the-upper-world-to-the-lower-world/
Saikyou Mahoushi no Inton Keikaku (LN),"Hundreds of years ago demons appeared suddenly and started attacking humans.At the time Humans couldn’t even put a scratch on them with normal weapons,The humans built seven countries to prevent their race from being extinct, and suceeded in hindering the demons by diverting their magic technology to the military but the battle against the demons still continues.Our protagonist Alusu Reigin who was always fighting at the front lines has offered to retire at the young age of 16 but the country cannot let him go as he stands at the top of all magicians and the number 1 [Single Digit] thus our story begins….","['Adult', 'Comedy', 'Fantasy', 'Mature', 'Romance', 'Smut']",https://www.novelupdates.com/series/saikyou-mahoushi-no-inton-keikaku-ln/
The Reckless Trap Magician,"A 15-year-old boy, Lute Drago.In a world where each person can use one type of magic, the magic he can use is “Trap Magic.”
A type of magic that everyone believed to be useless, but Lute finds power in this magic.
Fire, water, wind, earth, thunder…A single magician able to use many different types of magic. Because of this, Lute was accepted into the special class of the Adventurer’s Academy.
With all of the available special advanced classes, Lute will be busy everyday of his school life.","['Action', 'Fantasy', 'Romance', 'Shoujo Ai']",https://www.novelupdates.com/series/the-reckless-trap-magician/
Hon Issatsu de Kototariru Isekai Rurō Monogatari,"An unfortunate high school student who died from an accident, Misasagi Ryou (陵陵). With God's whim, what he got from reincarnating to a different world, was one old book――taking in all kinds of books, it was the 「Unlimited Summoning Book」 that is said to be able to materialize all creations. Legendary Brave Equipments, Sub-Machine Guns, Artificial Humans……using weapons that are taken out from the book, the young man tramples the different world!! The different world Battle Fantasy of a young man that loves books!","['Adventure', 'Fantasy']",https://www.novelupdates.com/series/hon-issatsu-de-kototariru-isekai-ruro-monogatari/
Maou No Utsuwa,"A world of magic and swords.Born into an aristocratic family of a large country, a boy with insufficient magic power bade farewell to his unlucky daily life. Because of his encounter with a Demon, his fate began to change. This destined meeting changed the boy’s life, affected his surroundings, and soon after, shook the entire world.
This is his tale.","['Comedy', 'Fantasy', 'Romance', 'Slice of Life', 'Smut', 'Supernatural', 'Yaoi']",https://www.novelupdates.com/series/maou-no-utsuwa/
Dragon Slaying Records,"[one-shot] This is a story about a knight's fight with a terrible dragon to rescue his beloved.
","['Action', 'Adventure', 'Comedy', 'Fantasy', 'Harem', 'Shounen']",https://www.novelupdates.com/series/dragon-slaying-records/
My Hero,"I have a childhood friend.We did s*upid things, made the adults angry, were put to cleaning the toilets together, complained it was a pain and went off to play, only to make them angry again. When we were kicked out to sleep in the shed, we made a ruckus all the way through the night, received the iron fist to the head, and grew older together.
That friend became the hero and saved the world.","['Action', 'Fantasy', 'Shounen', 'Supernatural']",https://www.novelupdates.com/series/my-hero/
Sword Labyrinth of the Sacred Sword,"There exists *something* in this world that overcomes human knowledge.That *something*, called the ‘Sword Labyrinth’, is a dungeon residing inside the ‘Holy Sword Gramm’—A humongous relic piercing through the once majestic city of Sigurd. Many adventurers challenged the dungeon, seeking the answer to the mystery behind the never ending beasts born inside the holy sword, only to disappear afterward.
The Father of the young Alec, a resident of Sigurd, had also disappeared inside the dungeon. Ten years later, Alec became a ‘Silver Smith’, met the mysterious ‘Sword Queen’ Celestia, and together they ventured into the dungeon… …not knowing that more misfortune than the one his father went through was waiting for him…","['Action', 'Adventure', 'Fantasy', 'School Life']",https://www.novelupdates.com/series/sword-labyrinth-of-the-sacred-sword/
The Man Picked up by the Gods,"Ryouma Takuma, a 39 year-old man with a hidden past, finds himself in a strange white room. There the gods tell him that he has died and that they are sending his soul to a different world; a world where magic exists. After living alone for three years his gamer soul loses common sense and starts toward crazy routes.","['Comedy', 'Shounen Ai']",https://www.novelupdates.com/series/the-man-picked-up-by-the-gods/
Kyou kara Ma no Tsuku Jiyuugyou!,"Shibuya Yuuri was living a pretty normal life. That changed the day he was dunked into a toilet after an attempt to save a classmate from a gang of bullies. Instead of just getting a good soaking, he’s pulled in. The next thing he knows, he’s in a world that vaguely resembles medieval Europe. If that’s not odd enough, he’s told that he is to be the next Maou (Demon King), because his soul once was part of that world. The Maou is the King of the mazoku (demon tribe), who are coexisting not-so-peacefully with the humans in this world. Much to his subjects’ dismay, he’s totally different from the rulers they’re accustomed to. He’s kind, considerate, a believer in justice, and not willing to use violence to solve conflicts. Not exactly someone they want running a country on the very brink of war. Now, Yuuri has to deal with trying to become a good Maou, while at the same time attempting to adapt to this land’s customs and culture, all in a world where the tension between the humans and mazoku is reaching its peak","['Action', 'Adventure', 'Comedy', 'Fantasy', 'Harem', 'Martial Arts', 'Shounen']",https://www.novelupdates.com/series/kyou-kara-ma-no-tsuku-jiyuugyou/
I’m Not a Villainess!! Just Because I Can Control Darkness Doesn’t Mean I’m a Bad Person! (WN),"Sakura was murdered by her family.The place she was born in again was exactly the same place she read about in her favorite novel.
That is, Reshiya, a kingdom that coexists with spirits.
The person she was born as was Claudia, a member of the Letsya duke family that commanded the kingdom’s army for generations; and also hated by everyone for the divine protection she received from the dark spirits’ king.
Because of that, Claudia was feared by her surroundings from a very young age and her family had a hard time bringing her up.
In the novel, Claudia was forced to marry into another kingdom in order to bind a peace treaty. But when Reshiya opposed to the pact in the last moment, Claudia was taken as a hostage and murdered in the enemy kingdom.
Could Sakura who still held memories of her past life avoid the sorrowful fate of Claudia?","['Action', 'Adventure', 'Fantasy', 'Harem', 'Romance', 'School Life', 'Shounen', 'Supernatural']",https://www.novelupdates.com/series/im-not-a-villainess-just-because-i-can-control-darkness-doesnt-mean-im-a-bad-person-wn/
Guin Saga,"In a single day and night of fierce fighting, the Archduchy of Mongaul had overrun its elegant neighbor, Parros. The lost priest kingdom’s surviving royalty, the young twins Rinda and Remus, hid in a forest in the forbidding wild Marches. There they are saved by a mysterious creature with a man’s body and a leopard’s head who has just emerged from a deep sleep and only remembers his name. Guin.","['Action', 'Adventure', 'Ecchi', 'Fantasy', 'Harem', 'Romance', 'Shounen']",https://www.novelupdates.com/series/guin-saga/
"Mouchido, Watashi ni Koi Sasete!","I who was confessing to my childhood friend a certain day was turned down and suddenly got summoned to a different world. When I returned, my passion had completely disappeared…","['Action', 'Drama', 'Fantasy', 'Harem', 'Mature', 'Romance']",https://www.novelupdates.com/series/mouchido-watashi-ni-koi-sasete/
The Ogre’s Food Box,"Sitting in the food box, watching those all so powerful human braves, orc prophets, and wizard heroes fighting each others in a bloody fight.Just for that dirty food and the right to survive….
He who stand above all, the king Golon who started to miss his carefree chilhood days, as well as his Mother who gave him the essence of the ogre culture.
Cooking Guide :
1. Find one or eight living people
2. Hit him or them
3. Continue to beat him or them
4. Throw him or them into the fire
5. Start eating.","['Action', 'Adventure', 'Fantasy', 'Horror', 'Supernatural', 'Yaoi']",https://www.novelupdates.com/series/the-ogres-food-box/
Mobile Suit Gundam: Twilight Axis,"U.C. 0096, 6 months after the Laplace incident and the revealing of the original UC charter, the Federation dispatches an investigation agency to probe the remains of Axis.This agency includes two civilians by the names of Arlette Almage and Danton Hylegg.
These two were once Technical Engineer and Test pilot, working for the Republic of Zeon, and then Neo Zeon.
The group is ambushed as they were infiltrating Axis, a place that should have been deserted.
And so Arlette and Danton are caught up in a turn of events no one could have predicted…","['Action', 'Fantasy', 'Martial Arts', 'School Life', 'Sci-fi', 'Supernatural']",https://www.novelupdates.com/series/mobile-suit-gundam-twilight-axis/
The Stone of Days,"A story about a young boy named Fabian Christian who is living arduously with his mother and managing a local general store.One day, Fabian comes across a monster and has the fight of his young life. 
What came out of it? A flaming sword only he could wield?
This would be the start of Fabian’s legendary journey alongside a girl named Yurika.","['Action', 'Adventure', 'Fantasy']",https://www.novelupdates.com/series/the-stone-of-days/
How To Live In A Different World,"In the middle of night, on the way home from the convenience store, suddenly he bathed in a strong light, and then what waiting in front of him is an another world.Since birth, Yoji Tanaka* (27 y/o Job Salesman) who in what ever he does “first thing first” is his motto, without understanding anything was blown to another world. The place that he arrived at was a middle aged kinda frontier village. It’s a story where the situation is though he neither knowing the lifestyle nor the language, using a doubtful cheat called skill bonus, somehow the timid mc was able to live through in a world dominated by monster using present-day common sense and little trick.","['Action', 'Adventure', 'Fantasy', 'Harem', 'Seinen']",https://www.novelupdates.com/series/how-to-live-in-a-different-world/
Where Will the Old Man Who Was Hurled into Another World Go?,"What will happen to this Ossan after being hurled into another world? Together with his wolf buddy, he lives a relaxing life. He hasn’t battled much, but this Ossan was strong originally. He hates self-important people. And since his family has increased, he’s surrounded in fluff.Now, as a result of living such a relaxing life, trouble loves him.","['Action', 'Adventure', 'Fantasy', 'Harem', 'Romance', 'Shounen']",https://www.novelupdates.com/series/where-will-the-old-man-who-was-hurled-into-another-world-go/
"I Have Reincarnated into「Welcome to the ○○ Town!」Townsperson A, But the Last Dungeon Was Right Around the Corner",A story about a man who reincarnated in a town before the last dungeon and his quest to say the famous line「Welcome to the ○○ town!」,"['Comedy', 'Fantasy', 'Slice of Life']",https://www.novelupdates.com/series/i-have-reincarnated-into%e3%80%8cwelcome-to-the-%e2%97%8b%e2%97%8b-town%e3%80%8dtownsperson-a-but-the-last-dungeon-was-right-around-the-corner/
Zombie Evolution,"Coincidentally, indoorsy-guy Zhang Yang went to the cultivation world, being the lowest level of zombie. By using a manual book named: “ Tai Yin Refining Figures”, Zhang Yang find his own way to success and leaves a “If a zombie knows how to use a manual, nobody can stop it “ legend in the world.","['Action', 'Adventure', 'Comedy', 'Fantasy', 'Harem', 'Romance']",https://www.novelupdates.com/series/zombie-evolution/
The Cursed Girl and the Evil Magician,"Everything Judy touches is put to sleep. Even though she can’t even have a lover because of this curse, she is to marry the ill-rumored “Magician of the Staircase”!However, the goal of the magician – who she thought came to pick her up – was just a sample of Judy’s blood. He rejected Judy with… “Marriage? Me? Don’t be silly, it’s quite enough to be single for this entire life.”?!
This is a love fairy tale between a young girl and a frustrating and socially awkward evil magician!","['Adventure', 'Fantasy', 'Shounen', 'Slice of Life']",https://www.novelupdates.com/series/the-cursed-girl-and-the-evil-magician/
Knight Fantastic Night,"The timid high school girl, Lin Ling, is transported to the world of King Arthur and his Round Table of Knights! To think that to exit this game world, the answer is E.G.G. An egg! Alternating between fantasy and reality, magnificent castles, a brave young king, a knight of the lake, Roman pope's illegitimate son, the Dark Duke and his detachment of black knights, mysterious magics... All of these form a world that is completely unfamiliar to her!The adventures of a normal high school girl attempting to beat this medieval-themed game, King Arthur, now starts! Enter the game world through a CD?! Is this a joke or a fantasy?
The collection of Knight Fantastic Night light novels include the first three books, and a mysterious CD! ","['Adventure', 'Fantasy', 'Gender Bender', 'School Life', 'Shounen', 'Slice of Life']",https://www.novelupdates.com/series/knight-fantastic-night/
Spirit Sword,"Two men explosively conquer a continent!!Luke Esteban, while on his way to retirement after serving in the military for five years, is ambushed by Orcs and taken prisoner.
The Orc warrior Kurotan reveals the secret of the Orcs to the imprisoned Luke and beseeches him for help.
The secret? A god has bestowed a ‘spirit sword’ that can absorb souls unto his endangered tribe.
A sword that can transfer an Orc’s soul into the body of a human.
“Help me become human, and I will lift my axe for you for the rest of my days…”","['Action', 'Adventure', 'Fantasy', 'Martial Arts', 'Shounen']",https://www.novelupdates.com/series/spirit-sword/
The Portal of Wonderland,"A wonder falling down from heaven! A boy possessed by strange blood! Gods tremble! Demons flee! A boy from the land of Dong Zhou. A pink skull as his sworn friend until death. A story of a determined warrior struggling for power. A legend that shakes the galaxy and disturbs the worlds of god, demon and man.","['Action', 'Adventure', 'Comedy', 'Fantasy', 'Shounen']",https://www.novelupdates.com/series/the-portal-of-wonderland/
Throne of Magical Arcana,"An ordinary young man on earth, Xia Feng, traveled to a world of sword and magic, and took the body of Lucien Evans, another ordinary young man. Seemingly this was a world of traditional western fantasy, yet he discovered the astonishing similarities between the earth and this world, and between science and the so-called arcane magic… 
“Knowledge is power”? Soul, magic, quantum, Theory of Relativity, cognitive world, music and real world…… 
What was the true nature of that world?","['Action', 'Adventure', 'Fantasy', 'Harem', 'Romance', 'Shounen']",https://www.novelupdates.com/series/throne-of-magical-arcana/
A Modern Fantasy! The Weakest Fighter in the World Aims for the Peak!,"In a world that closely resembles earth.It was a parallel world, but at the same time, it was a world of swords and magic.
A world where dungeons appear and monsters terrorise people…
Reincarnated into such a world, former salaryman [Amano Taiyo] chooses the job class of [warrior] to succeed in this modern fantasy-like earth.
Even if that job is ridiculed as the weakest job in the academy, and is treated with ridicule, he still doesn’t remove his warrior calling.
He dreamed of becoming the strongest adventurer by cultivating the job class that nobody would keep.
No, he had to become it.
Can Amano Taiyo really become the strongest in a world with a job class that everyone calls the weakest?
Dungeons, an adventurer’s guild, and monsters… In a modern earth of swords and magic bearing an uncanny resemblance to japan, this is the story of a warrior, ridiculed as the weakest in the world, aiming for the peak!","['Action', 'Adventure', 'Fantasy', 'Harem', 'Mecha', 'Mystery', 'Sci-fi', 'Seinen', 'Supernatural']",https://www.novelupdates.com/series/a-modern-fantasy-the-weakest-fighter-in-the-world-aims-for-the-peak/
Acquiring Talent in a Dungeon,"Talent, appearance, power.No matter how hard I try, I can't beat the people born with these things.
But, within this dungeon, I can overcome them.","['Adult', 'Comedy', 'Fantasy', 'Mature', 'Romance', 'Smut']",https://www.novelupdates.com/series/acquiring-talent-in-a-dungeon/
Mary-chan’s Dungeon,"A normal everyday scene of a little Mary-chan in front of a kind and friendly, non-lethal dungeon.
","['Action', 'Fantasy', 'Romance', 'Shoujo Ai']",https://www.novelupdates.com/series/mary-chans-dungeon/
＜Infinite Dendrogram＞,"July 15, 2043. On that day, a Full Dive VRMMO was released, its unique system called ＜Embryo＞ allowing each player to follow an extremely varied—or rather, an “infinitely” varied pattern of evolution. What's the game name?＜Infinite Dendrogram＞
Possessing an element that, until now, had never been achieved by VRMMOs and was considered a technical impossibility, ＜Infinite Dendrogram＞ took over the entire world, becoming a major hit in the blink of an eye.
One and a half year had passed since the launch of ＜Infinite Dendrogram＞. A young man named Mukudori Reiji had finished his university entrance exams and began living alone in Tokyo. In order to celebrate the end of that lengthy studying period, after being invited by his older brother long ago, he finally started playing the game.
This is a story where the line between game and reality is blurred.
And also, a tale of reminiscences.","['Adventure', 'Fantasy']",https://www.novelupdates.com/series/%ef%bc%9cinfinite-dendrogram%ef%bc%9e/
Otherwordly Kitty-Cat ~Reborn as a Cat~,"Nyanyanyanya~
Nya? Nya! Nya~
Nyan.
Nyanyanyanyanyanya~!
","['Comedy', 'Fantasy', 'Romance', 'Slice of Life', 'Smut', 'Supernatural', 'Yaoi']",https://www.novelupdates.com/series/otherwordly-kitty-cat-reborn-as-a-cat/
"Uchi no Musume no Tame naraba, Ore wa Moshikashitara Maou mo Taoseru kamo Shirenai (LN)","A painfully conspicuous master adventurer, Dale.Due to a certain request, he set foot in a deep forest and by chance, encountered a severely underweight and thin young girl of magic lineage. Unable to leave the girl, Latina who carried the branding of a criminal, Dale reluctantly decided to become her protector. However―
""Because Latina is too cute, I don't want to go to work.""
―Before he realized it, he had completely gained a parent complex!?","['Action', 'Adventure', 'Comedy', 'Fantasy', 'Harem', 'Shounen']",https://www.novelupdates.com/series/uchi-no-musume-no-tame-naraba-ore-wa-moshikashitara-maou-mo-taoseru-kamo-shirenai-ln/
Unmotivated Hero’s Tale (LN),"There is a town called Karin in a faraway land from the capital city of the kingdom of Clarith. There lived a military man named Yui Istats. ­Being solely known for his laziness, he lacks any motivation, completely not making any progress in the tasks assigned to him. Nevertheless there was a particular mission for him. Disguising himself as an inconspicuous person, he was advancing daily internal inspections in order to correct the decaying deeds of nobles. And before that kind of him appeared the princess Elise. From the strong sense of justice she tried to resolve the present state of affairs with her own hands, and was kidnapped by a sect that didn’t approve her actions. And Yui, who was called ‘good-for-nothing’ by Elise, came up with a plan in order to rescue the princess?!
Lackadaisical hero(?) is sent, the tale of a hidden hero! Unique military history fantasy, part one!","['Action', 'Fantasy', 'Shounen', 'Supernatural']",https://www.novelupdates.com/series/unmotivated-heros-tale-ln/
A S*ave Career Planner Can Be A Successful Profession,"Career Consultant. It was a profession where various consultations were made to aid a person seeking employment.Mitsuji Toshiki, a young man from modern Japan, had the skills and qualifications to be a career consultant. He was teleported to another world before he knew it and became an apprentice to a s*ave merchant.
Toshiki was determined to redo his life one more time when he realized that he was teleported to another world.
With the skills to judge and see through a person’s suitable character, he skillfully rose in fame in this other world.
NOTE:
The author reworked his story from the original s*ave career planner","['Action', 'Adventure', 'Fantasy', 'School Life']",https://www.novelupdates.com/series/a-slave-career-planner-can-be-a-successful-profession-2/
Isekai C-mart Hanjouki,"Another World × Elf × Supermarket = I am the shopkeeper. The “shopkeeper” who “quit” that stress-filled reality and casually disappeared into another world.I want to repay the kindness of the people in that other world! With an elf who I found collapsed on the road to help at the register, I, the shopkeeper, opened a small shop. The goods I have lined up are from modern society! Sugar and coffee, chainsaws, and plastic bags, today we’ll sell all we can!
Our another-world C-mart is full of customers, ranging from our neighbor “oba-chan” to children to dwarf smiths and even legendary adventurers!?
In my relaxed, slow life as shopkeeper, with a carefree attitude we’re open for business today as well!","['Comedy', 'Shounen Ai']",https://www.novelupdates.com/series/isekai-c-mart-hanjouki/
Maken no Daydreamer (LN),"Minato is a college student who died in a plane crash and was reincarnated in a fantasy world. He was raised alone in the wilderness by his succubus mother, and now he tries to make his way as an adventurer.","['Action', 'Adventure', 'Comedy', 'Fantasy', 'Harem', 'Martial Arts', 'Shounen']",https://www.novelupdates.com/series/maken-no-daydreamer-ln/
Youjo Senki,"On the front line of the war, there’s a little girl. Blond hair, blue eyes and porcelain white skin, she commands the army with lisping voice. Her name is Tanya Degurechaff. But in reality, she is one of Japan’s most elite salarymen, reborn as a little girl after angering a mysterious being X who calls himself “God.” And this little girl, who prioritize over anything else efficiency and her own career, will become the most dangerous being amongst the sorcerers of the imperial army…","['Action', 'Adventure', 'Fantasy', 'Harem', 'Romance', 'School Life', 'Shounen', 'Supernatural']",https://www.novelupdates.com/series/youjo-senki/
Elsword – Time Trouble,"Add (a Time Tracer) is trying to steal Eve (as a Code: Exotic)’s core for his own use but was found out by Eun. Much to his surprise, Eun offers Add help with stealing Eve’s core. Though there seem to be other reasons behind Eun’s support, Add still decides to let the fox help.","['Action', 'Adventure', 'Ecchi', 'Fantasy', 'Harem', 'Romance', 'Shounen']",https://www.novelupdates.com/series/elsword-time-trouble/
Fate/Apocrypha,"Fate/Apocrypha is a story based around a Holy Grail War separate from that of the five Fuyuki Wars.The original chapter 1 ""Unbirth"" focuses on Jack the Ripper. Though elements from this chapter exists in the official story, this chapter is not related to the official plot of the story.","['Action', 'Drama', 'Fantasy', 'Harem', 'Mature', 'Romance']",https://www.novelupdates.com/series/fateapocrypha/
Katahane no Riku,"Riku Barusak is a hard-working child. Despite possessing an innate superior physical strength and having withstood harsh training she fails to unlock her talent as a spiritualist. The failure results in her being thrown away by her family.Abandoned, the only ones that extended a hand to her were the demons, the greatest enemies of the human race. Serving under them as a soldier she becomes a weapon of human slaughter, a fiend that should never have existed.","['Action', 'Adventure', 'Fantasy', 'Horror', 'Supernatural', 'Yaoi']",https://www.novelupdates.com/series/katahane-no-riku/
HardGuy’s Bizarre Adventure,"If you are fed up with protagonists who reincarnate by accident and coincidentally become the savior or conqueror of another world, here comes another choice – A passionate adventurer who struggled to live for nothing more than a sole wish: to explore and enjoy the view that no one has seen before.","['Action', 'Fantasy', 'Martial Arts', 'School Life', 'Sci-fi', 'Supernatural']",https://www.novelupdates.com/series/hardguys-bizarre-adventure/
