Name,University,Difficulty Level,Link,About,Course Description
PyTorch Basics for Machine Learning,IBM,Beginner,https://www.edx.org/course/pytorch-basics-for-machine-learning,"This course is the first part in a two part course and will teach you the fundamentals of PyTorch. In this course you will implement classic machine learning algorithms, focusing on how PyTorch creates and optimizes models. You will quickly iterate through different aspects of PyTorch giving you strong foundations and all the prerequisites you need before you build deep learning models.","This course is the first part in a two part course and will teach you the fundamentals of Pytorch while providing the necessary prerequisites you need before you build deep learning models.We will start off with PyTorch's tensors in one dimension and two dimensions , you will learn the tensor types an operations, PyTorchs Automatic Differentiation package and integration with Pandas and Numpy. This is followed by an in-depth overview of the dataset object and transformations; this is the first step in building Pipelines in PyTorch.In module two we will learn how to train a linear regression model. You will review the fundamentals of training your model including concepts such as loss, cost and gradient descent. You will learn the fundamentals of PyTorch including how to make a prediction using PyTorch's linear class and custom modules. Then determine loss and cost with PyTorch. Finally you will implement gradient descent via first principles.In module three you will train a linear regression model via PyTorch's build in functionality, developing an understanding of the key components of PyTorch. This will include how to effectively train PyTorch's custom modules using the optimizer object, allowing you an effective way to train any model. We will introduce the data loader allowing you more flexibility when working with massive datasets . You will learn to save your model and training in applications such as cross validation for hyperparameter selection, early stopping and checkpoints.In module three you will learn how to extend your model to multiple input and output dimensions in applications such as multiple linear regression and multiple output linear regression. You will learn the fundamentals of the linear object, including how it interacts with data with different dimensions and number of samples. Finally you will learn how to train these models in PyTorch. In module four you will review linear classifiers, logistic regression and the issue of using different loss functions. You will learn how to implement logistic regression in PyTorch several ways, including using custom modules and using the sequential method. You will test your skills in a final project. Data Analysis & Statistics"
Introduction to Cloud Foundry and Cloud Native Software Architecture,The Linux Foundation,Beginner,https://www.edx.org/course/introduction-to-cloud-foundry-and-cloud-native-sof,A hands-on workshop to learn how to deploy and manage applications on Cloud Foundry. Grow from novice to knowledge-hound in your spare time!,"Does your team use Cloud Foundry to deploy applications? Or would you like to use Cloud Foundry, but haven't had time to learn the lingo? Then this course is just what you need! Cloud Foundry makes it simple for developers to deliver business value more quickly, without wasting time getting their app to the cloud -- it's already there.This course is an introduction to Cloud Foundry, including distributions available to end users, an overview of the platform's components, and what it means to be Cloud Foundry certified. The course also includes technical instructions on how to use the command line interface, how applications are deployed, what services are within the context of the system and basic debugging practices.Finally, the workshop will take you on a tour through what it means to build cloud-native applications architecturally and ideologically. In doing so, we'll review the 12-factor method of composing modern distributed web systems. Computer Science"
Know HBV And HCV,Stanford University,Beginner,https://www.edx.org/course/know-hbv-and-hcv,"Viral hepatitis is among the greatest public health problem in the world with deaths that has surpassed HIV/AIDS by 2014. Most of the deaths are caused by liver cancer or liver cirrhosis among the estimated 350-400 million people living with undiagnosed or untreated chronic hepatitis B or C infection. Eliminating the public health problem of hepatitis is feasible by ending transmission, reducing chronic viral hepatitis complications with screening, care and treatment and by ending disease stigma and discrimination. Achieving this goal will require healthcare workers who are knowledgeable and proficient in hepatitis prevention and control.","Viral hepatitis is among the greatest public health problem in the world with deaths that has surpassed HIV/AIDS by 2014. Most of the deaths are caused by liver cancer or liver cirrhosis among the estimated 350-400 million people living with undiagnosed or untreated chronic hepatitis B or C infection. Eliminating the public health problem of hepatitis is feasible by ending transmission, reducing chronic viral hepatitis complications with screening, care and treatment and by ending disease stigma and discrimination. Achieving this goal will require healthcare workers who are knowledgeable and proficient in hepatitis prevention and control.KNOW HBV/HCV is an open-access, online training course developed for practitioners and students in primary care and public health. The content of the course is based on the best available data and technical guidelines from professional societies, World Health Organization, and US Center for Disease Control and Prevention. Upon successful completion, the participants will have learnt about the burden of chronic hepatitis B and C and liver cancer, the types of viral hepatitis and transmission routes, prevention, hepatitis B vaccine administration and storage, diagnosis and monitoring of chronic hepatitis B, prevention of blood borne infection in the healthcare settings including injection safety and post exposure prophylaxis.The training is developed by Asian Liver Center at Stanford University.You will learn about Medicine"
The Supreme Court & American Politics,University of Baltimore-University System of Maryland,Beginner,https://www.edx.org/course/the-supreme-court-american-politics,"Take a journey through the history of the United States Supreme Court, with primary emphasis on the Court’s interaction with America’s political life. From Washington to Trump, the Supreme Court has been both immersed in politics and kept apart from it.","The University of Baltimore School of Law and Lyle Denniston, who has been covering the Supreme Court of the United States for over five decades, examine the Court’s interaction with America’s political life.From the founding of a new nation - with the creation of a truly national Constitution at the Philadelphia Convention in the summer of 1787 - until the events of our own time, the Supreme Court has been both immersed in the political scene, and apart from it.A basic understanding of American government and history will be useful, but no prior knowledge is required on this journey to help answer one question: “Is the Supreme Court a political institution?”Each week, learners will be presented with videos - both lectures and discussions with one of several guests. These guests will include:These weekly video lectures and discussions will be supplemented by reading materials and discussions that will help you understand why a national court is, in reality, very different from the politically-chosen national policy branches: Congress and the Presidency. Despite this distinction, the Supreme Court of the United States must still be a constitutional partner to these elected bodies.This updated version of the course examines new decisions by the U.S. Supreme Court that expand our constitutional understanding of the American people's role in electing the President, and that clarify the methods beyond the text of the Constitution for holding presidents accountable.Join Lyle Denniston and The University of Baltimore Law School as we unpack the compelling story of The Supreme Court and American Politics! Law"
Sales Enablement & Analytics,Queen’s University,Beginner,https://www.edx.org/course/sales-enablement-analytics,"Learn how to use data, tools, and technology to drive productivity and set yourself apart as sales leader.","Organizations today have an influx of data which when used effectively can derive actionable insights for both the sales organization and their clients. Today's sales leadersneed to systematically increase their sophistication in leveraging data, tools and domain expertise to provide customized insights, consulting and guidance to their strategic customers. In this course, you will explore concepts covered in the previous courses within the Enterprise Sales professional certificate, but through the lens of the tools and technologies which enable data-driven decisions. Using the appropriate tools and technologies will permit sales representatives and managers to create value for their clients, ultimately increasing customer satisfaction and likelihood of long-term client retention.Upon successful completion of this course, the student should be able to:  Business & Management"
Comparative Political Systems,Università degli Studi di Napoli Federico II,Beginner,https://www.edx.org/course/comparative-political-systems,"Explored through the lens of different political systems, this course provides the insights neededto understand Democracy today and the challenges faced by democratic governments.","This course is part of the IPSAMOOC project, a joint venture Federica Weblearning - IPSA, the International Political Science AssociationIf you've ever asked the question, ""What is Democracy?"" this course is for you. This comparative study of politics covers a wide variety of topics and themes. 
The course begins with a definition of the comparative method and a special focus on concept formation and historical and institutional approaches. It highlights the way in which democratic regimes are governed, and the way electoral rules impact not only on parties and the party system but also on citizens. We will study the different forms of government, their structure and role, leading to an understanding of the dynamics of governing coalitions and their rotation in office. Together we will evaluate the assets and liabilities of the different institutional structures and approaches. The last part of the course will focus on the effectiveness of different democratic regimes and evaluate proposals for change. The emerging overall picture will show the existence of several institutional solutions to the challenges and the problems of contemporary democracies. Social Sciences"
Cloud Computing for Enterprises,University System of Maryland-University of Maryland Global Campus,Intermediate,https://www.edx.org/course/cloud-computing-for-enterprises-2,Understand cloud computing technologies and how they can increase business productivity and effectiveness.,"Organizations are increasingly moving their critical information and assets to the cloud. Understand the technology, best practices, and economics of cloud computing, and the rewards and risks of this rush to the cloud.In this course, part of the Cloud Computing MicroMasters program, you will learn the essentials of cloud computing, including Infrastructure As A Service (IaaS), Platform As A Service (PaaS), Software As A Service (SaaS), and other ""X as a service"" platforms.You will explore how the cloud can support businesses by increasing productivity and effectiveness. This course is part of the Cloud Computing MicroMaster’s program from UMGC. Upon completion of the program and receipt of the verified MicroMaster’s certificate, learners may then transition into the full UMGC Master’s Program in Cloud Computing Architecture. See the MicroMasters program page for more information. Computer Science"
Diversity and Social Justice in Social Work,The University of Michigan,Advanced,https://www.edx.org/course/diversity-and-social-justice-in-social-work,"Increase your knowledge and critical thinking skills related to diversity, human rights and social justice and injustice.","In this social sciences course, you will develop a framework for:We will explore the knowledge base that underlies skills needed to work towards justice. You will learn about types and sources of power, multiple social locations, social constructions, social processes, social identities, conflicts, and how all these interact.You will develop skills in critical contextual thinking and analyses, and in praxis, learn to use knowledge and theory to recognize and critique underlying assumptions and paradigms and inform working for change.You will learn how multiple kinds of boundaries are especially important--across groups, between organizations and system levels, and within and between people, related to intersecting social locations.You will actively explore how societal power and diversity characterize and shape the human experience, and are critical to the formation of social structures, cultural understandings, group and organizational processes, and identities. You will learn how the dimensions of diversity are understood as the intersectionality of multiple factors including: age, class, color, culture, disability, ethnicity, gender, gender identity and expression, immigration status, political ideology, race, religion, sex, and sexual orientation.You will learn how current experiences of privilege and oppression are shaped by historical forces, societal structures, social constructions, groups, interpersonal processes and human understandings. This includes an understanding of the institutional, organizational, policy, and socio-cultural arrangements that contribute to privilege and oppression. Additionally, this course will explore formulations of human rights, including positive rights, and negative conditions that need to be eradicated.You will also study how social justice and injustice occur in organizations, institutions, and society, relevant theories that can inform work for justice (e.g., critical race theory, and components of many theories), and how mechanisms of oppression and privilege work (e.g., marginalization, exploitation, violence, cultural hegemony, and powerlessness).This course is part of the Social Work: Practice, Policy and Research MicroMasters Program offered by MichiganX. Please note that to complete this program with a MicroMasters certificate, you must be enrolled as a verified learner in all courses in the program by November 30, 2020, and you must complete all assessments by March 29, 2021. Social Sciences"
Public Library Marketing and Public Relations,The University of Michigan,Beginner,https://www.edx.org/course/public-library-marketing-and-public-relations,"Learn how to develop effective marketing and PR strategies to help share your library’s programs, services, and value with the broader community.","In this course, part of the Public Library Management Professional Certificate program, you’ll learn how to use attractive graphic design, public relations outreach with the media, and paid marketing to better communicate about your library and, in the case of social media, build better conversations and relationships with patrons.Solutions at multiple budget points (e.g., DIY software versus working with a designer) will also be discussed. Humanities"
"Healthcare Finance, Economics and Risk",Doane University,Intermediate,https://www.edx.org/course/healthcare-finance-economics-and-risk,"Gain the knowledge of financial systems needed to be a leader or administrator in the healthcare industry and how they impact strategic planning, quality assurance and risk management initiatives.","This course is part of the Healthcare Administration MicroMasters program which consists of 7 courses and a capstone exam. After completing the program, you can also apply to Doane University to complete your MBA online for approximately $10,500 (learn more about the program here). In order to be a leader/administrator in thehealthcareindustry, you must have a basic understanding of healthcare finance, risk, legal and regulatory issues in order to navigate and change the system. Managing risk is one of the primary responsibilities of a leader. This requires a basic understanding of the financial health and regulatory constraints one operates within to anticipate and address changing dynamics. This course will focus on healthcare economics and financeto help you articulate new approaches to managing costs and improving access, quality and safety. You will learn how to assess the fiscal status of a healthcare organization. Strategic planning, marketing, quality assurance and risk management initiatives for healthcare organizations will also be explored. Economics & Finance"
VideoX: Creating Video for the edX Platform,edX,Beginner,https://www.edx.org/course/videox-creating-video-for-the-edx-platform,Learn the best and most efficient ways to create video content for the edX platform.,"VideoX is an introduction to the video creation process for edX.org. This course is part of the edX Course Creator XSeries and should be taken after completing StudioX.After completing this course, you will be able to:VideoX is a course for everyone and does not require any previous experience in video production. So what are you waiting for? Get started today! Education & Teacher Training"
MathTrackX: Probability,University of Adelaide,Beginner,https://www.edx.org/course/mathtrackx-probability,Understand probability and how it manifests in the world around us.,"This course is part five of the MathTrackX XSeries Program which has been designed to provide you with a solid foundation in mathematical fundamentals and how they can be applied in the real world.This course introduces probability and how it manifests in the world around us. Beginning with discrete random variables, together with their uses in modelling random processes involving chance and variation, you will start to uncover the framework for statistical inference.Guided by experts from the School of Mathematics and the Maths Learning Centre at the University of Adelaide, this course will introduce discrete and continuous random variables and their applications in a variety of contexts.Join us as we provide opportunities to develop your skills and confidence in applying mathematics to solve real world problems. Math"
Sign Language Science: Factors Contributing to Natural Change,Georgetown University,Beginner,https://www.edx.org/course/factors-contributing-to-natural-change,"This course describes how we use historical data to demonstrate language change. While earliest indications suggest that the origin of a signed language began as a gestural form, it has evolved as it was handed down.","In this course, we will explore how language changes over time. We know from documentation that early ASL does not look the same as it does today. The earliest indications suggest that it originated as gesture, but that’s not what people learn today. That’s because, as it was passed down, it evolved and changed. In this course, we will look at the historical data and discuss how the language changed. Language"
Accounting System Structure and Information Management,NYIF,Beginner,https://www.edx.org/course/accounting-system-structure-and-information-management,Get introduced to accounting concepts and learn how accountants measure income and record transactions.,"This course begins with an introduction to financial accounting and explains how accounting information assists in making decisions. We’ll look at the components of the balance sheet and analyze the effect of transactions on the balance sheet equation. We’ll review the different types of ownership and compare the features of sole proprietorships, partnerships, and corporations. We’ll then proceed to learn how accountants measure income and explore the concepts of revenue recognition and matching. We’ll look into the relationship between balance sheet and income statement and also cover the statement of retained earnings and earning per share.We’ll wrap up this course with a look at the double-entry system and recording process and learn how to prepare and use a trial balance.This course is part 1 of the New York Institute of Finance’s Financial Accounting Professional Certificate. Economics & Finance"
Sustainable Development: The Post-Capitalist Order,SDG Academy,Beginner,https://www.edx.org/course/sustainable-development-the-post-capitalist-order,"Sustainable development represents a shift from our current system of inequitable capitalism to one that prioritizes prosperity for all, while remaining conscious of its environmental impact and sustainability for future generations. Learn why sustainable development has been adopted by countries and multilateral organizations around the world, and how this approach is transforming the way we live, work, and govern our planet.","Our present system of global capitalism is flawed. While it has produced immense wealth and economic growth in nearly all regions of the world, it has also prioritized profits over people and harmful consumption practices over the needs of our planet. Sustainable development must bring about a new world order to replace the vices of global capitalism, ensuring development, human wellbeing, and environmental security. This course presents Agenda 2030 and the Sustainable Development Goals as the necessary successor to laissez faire-style capitalism, and emphasizes the urgency of embracing sustainable development objectives to transform our economy into a more reactive, efficient, inclusive, and environmentally-conscious system. This 8-week massive open online course (MOOC) provides an in-depth look at the shortcomings of our current and past global economies, and shows why and how sustainable development has become the universally-prioritized agenda for the future of our world. The topics covered range from market economics to education, gender equality, international trade, financing, and more. This course is for:  Economics & Finance"
"Health Law, Policy, and Advocacy",Doane University,Intermediate,https://www.edx.org/course/health-law-policy-and-advocacy,"Explore important issues in health law. Discover how health policies are developed, adopted and implemented, as well as the factors that influence this process.","This course is part of the Healthcare Administration MicroMasters program which consists of 7 courses and a capstone exam. After completing the program, you can also apply to Doane University to complete your MBA online for approximately $10,500 (learn more about the program here). To be an effective agent of change, a healthcare administrator must have a foundational understanding of healthcare advocacy, law, and regulatory issues, as well as compliance. This course will focus on a wide range of important issues in health law, health policy and the factors at play when developing a strategic advocacy platform such as bioethics and informed consent. At the conclusion of this course, learners will be able toidentify health policies that promote quality, advocacy and system changewithin a healthcare organization. Law"
Introduction to Haptics,Stanford University,Beginner,https://www.edx.org/course/introduction-to-haptics,"Participants in this course will learn how to build, program, and control haptic devices, which are mechatronic devices that allow users to feel virtual or remote environments.","To participate in lab assignments (which is not strictly required to receive a Statement of Accomplishment), the participant will need to acquire/build the components of a Hapkit, and assemble and program the device. Laboratory assignments using Hapkit will give participants hands-on experience in assembling mechanical systems, making circuits, programming Arduino-based micro-controllers, and testing their haptic creations. After the class, we hope that you will continue to use and modify your Hapkit, and let us know about your haptic creations. Please note that you can still participate in the online course without the Hapkit and receive a Statement of Accomplishment, but you will not be able to do most of the laboratories.The course is divided into 5 modules, and we suggest that you complete one module per week. In each module, participants will view online lectures, take online quizzes (interspersed with the lectures), and complete a laboratory assignment. Data for each lab assignment will be submitted online.Module 1: Introduction to haptic technology and human hapticsModule 2: Hapkit mechanical design and assemblyModule 3: Hapkit mechatronicsModule 4: Programming virtual environmentsModule 5: Mechanical characterization and simulation Engineering"
Decision Making Under Uncertainty: Introduction to Structured Expert Judgment,Delft University of Technology,Beginner,https://www.edx.org/course/decision-making-under-uncertainty-introduction-to,Don't let the absence of data or the lack of appropriate data affect your decision-making. Learn how expert opinion can be used rigorously for uncertainty quantification.,"In an increasingly data-driven world, data and its use aren't always all it's cracked up to be. This course aims to address the critical lack of any or appropriate data in many areas where complex decisions need to be made. For instance, how can you predict volcano activity when no eruptions have been recorded over a long period of time? Or how can you predict how many people will be resistant to antibiotics in a country where there is no available data at national level? Or how about estimating the time needed to evacuate people in flood risk areas? In situations like these, expert opinions are needed to address complex decision-making problems. This course, aimed at researchers and professionals from any academic background, will show you how expert opinion can be used for uncertainty quantification in a rigorous manner. Various techniques are used in practice. They vary from the informal and undocumented opinion of one expert to a fully documented and formal elicitation of a panel of experts, whose uncertainty assessments can be aggregated to provide support for complex decision making. In this course you will be introduced to state-of-the-art expert judgment methods, particularly the Classical Model (CM) or Cooke's method, which is arguably the most rigorous method for performing Structured Expert Judgment. CM, developed at TU Delft by Roger Cooke, has been successfully applied for over 30 years in areas as diverse as climate change, disaster management, epidemiology, public and global health, ecology, aeronautics/aerospace, nuclear safety, environment and ecology, engineering and many others.By the end of the course all learners will be able to: Verified learners will have the added benefit of being able to:  Business & Management"
AP® Calculus BC,Davidson Next,Beginner,https://www.edx.org/course/ap-calculus-bc-2,Learn AP® Calculus BC topics from highly respected AP Calculus instructors to prepare for the AP® Calculus BC exam.,"In this calculus course, you will learn all the Calculus BC topics that are not part of the AP® Calculus AB curriculum by engaging with video instruction, exam-style questions and interactive activities.Each topic is broken up into bite-sized pieces—with short instructional videos, interactive graphs, and practice problems written by many of the same people who write and grade your AP® Calculus exams.Topics include:This course is specifically designed for students who have already taken (or are currently enrolled in) Calculus AB. This course combined with a traditional Calculus AB course will prepare students to take the Calculus BC exam.*Advanced Placement® and AP® are trademarks registered and/or owned by the College Board, which was not involved in the production of, and does not endorse, these offerings. Math"
Advanced Linear Algebra: Foundations to Frontiers,The University of Texas at Austin,Advanced,https://www.edx.org/course/advanced-linear-algebra-foundations-to-frontiers,Learn advanced linear algebra for computing.,"Linear algebra is one of the fundamental tools for computational and data scientists. In Advanced Linear Algebra: Foundations to Frontiers (ALAFF), you will build your knowledge, understanding, and skills in linear algebra, practical algorithms for matrix computations, and the analysis of the effects of floating-point arithmetic as performed by computers. Computer Science"
Understanding Political Concepts,Università degli Studi di Napoli Federico II,Beginner,https://www.edx.org/course/understanding-political-concepts,"This course offers an exciting journey through political science concepts. Understand key concepts like party, bureaucracy, andconstitution by using new methods developed for scholars and students; including the innovative ""Hyperpolitics"" tool.","This course is part of the IPSAMOOC project, a joint venture Federica Weblearning - IPSA, the International Political Science AssociationPolitical science discourse brings us face to face with many important concepts like authority, democracy, and power. However, all of them are used differently in different contexts, and their specific meaning depends on the theory they relate to. There is no way around such puzzling diversity. Students of political science simply have to accept this challenge. Yet, the diversity of political science concepts can be used as a powerful resource for learning, through intellectual techniques for stirring personal creativity. This MOOC teaches conceptual thinking and elementary theory-building through Hyperpolitics, an interactive dictionary for understanding and working with the most central concepts in political science. Its aim is to provide students with fresh critical insights about key political concepts by offering a methodology that enables users to unpack and reconstruct them on their own. Its companion open-access website serves as a powerful tool for students to practice forging their own vocabulary while learning how to make professional use of authoritative PS internet resources. Through ten lessons, this MOOC comprises lecture sections based on visualizations of the arguments presented, reading assignments, and practical exercises. Social Sciences"
How to Code: Complex Data,University of British Columbia,Beginner,https://www.edx.org/course/how-to-code-complex-data,This course is part of a MicroMasters® Program,"As your program requirements get more complex, you will find that simple additions to the design method make it easy to write well-structured and well-tested code that is easy to maintain.By learning how to capture common data and control structures using abstraction, your programs will get shorter and better tested.Building on the core methods from How to Code: Simple Data, this programming course, part of the Software Development MicroMasters program, quickly expands to cover more complex programs on more complex data. Towards the end of the course, you will design programs that even experienced developers would find challenging.You will also learn how to design search programs. You will design a program to solve Sudoku puzzles, and will be able to design many other puzzle solvers as well.Learners who enroll in the Verified track will receive staff grading for the course project and increased interaction with the instructor and staff.Learner Testimonial""It's a great course and maybe one of the most important topics to master if you're a programmer (any level). This course will teach you how to design better, cleaner and faster programs."" 
- Previous Student Computer Science"
Hypersonics – from Shock Waves to Scramjets,The University of Queensland,Advanced,https://www.edx.org/course/hypersonics-from-shock-waves-to-scramjets-2,Understand flight at speeds greater than Mach 5 and discover how to analyse the performance of a scramjet.,"A flow is called hypersonic if the Mach number is greater than 5. This means that the flow speed is more than five times the speed of sound. In air at room temperature, the speed of sound is around 340 m/s, so a Mach 5 flow would have a flow speed of 1.7 km/s or just over 6,000 km/h. When a rocket launches a satellite into earth orbit, when a probe enters the atmosphere of another planet or when an aircraft is propelled by a supersonic combustion ramjet engine (a scramjet), hypersonic flows are encountered. Hypersonics - from Shock Waves to Scramjets introduces the basic concepts associated with flight at speeds greater than Mach 5 and takes students to the stage where they can analyse the performance of a scramjet engine that might be used in a future access-to-space system. Engineering"
Micro and Nanofabrication (MEMS),École polytechnique fédérale de Lausanne,Advanced,https://www.edx.org/course/micro-and-nanofabrication-mems,Learn the fundamentals of microfabrication and nanofabrication by using the most effective techniques in a cleanroom environment.,"Microfabrication and nanofabrication are the basis of manufacturing for nearly all modern miniaturized systems that are ubiquitously used in our daily life. Examples include; computer chips and integrated sensors for monitoring our environment, cars, mobile phones, medical devices and more.Micro- and nanofabrication can be taught to students and professionals by textbooks and ex-cathedra lectures, but the real learning comes from seeing the manufacturing steps as they happen.In this engineering course, we will go a step beyond classroom teaching to not only explain the basics of each fabrication step but also show you how it’s done through video sequences and zooming into the equipment. Engineering"
Scientific Methods and Research,Ural Federal University,Intermediate,https://www.edx.org/course/scientific-methods-and-research,Learn how to conduct research based on scientific methodology and analyze scientific articles and conduct experiments.,"What does it mean to conduct research? What are the distinct stages of the research process? What are the requirements of modern scientific research? How do you analyze a scientific article? This course will teach you to conduct research in accordance with scientific methodology. You'll learn to analyze scientific articles in engineering and science subjects, and how to conduct scientific experiments. The course will help to develop the core skill of a scientist, giving you the research tools to succeed. The course material is well-suited for anyone interested in the problems of uncovering knowledge and science; giving you a methodology for the achievement of educational and scientific activities. This course is for anyone who has ever said, “Science is interesting.” It will appeal to those who want to learn the processes behind modern scientific research. Science"
Customer Centric Marketing for Entrepreneurs,Babson College,Intermediate,https://www.edx.org/course/customer-centric-marketing-for-entrepreneurs,Design a marketing campaign and learn how to create brand excitement and attract engaged customers!,"It is not uncommon for students, executives and business owners to feel overwhelmed by the myriad of marketing solutions available today. How do you decide if social media, direct sales or perhaps event marketing is right for your business? This course helps you understand how to build a brand and reach your potential and current customers in the most effective and efficient manner. The landscape for marketing (identifying and seizing opportunities for market growth) has changed dramatically over the past decade, making marketing decisions more confusing than ever before. Understanding how to quickly identify true customer needs and then apply the learnings to identify the right marketing approach for your company is critical if you are looking to launch and/or grow a business. In this unique entrepreneurial marketing course, you will gain practical experience by learning how to design a customer-centric marketing campaign for your own business or for an organization that needs marketing support. We will teach you how to better understand your customers’ needs and use this knowledge to develop and launch a marketing campaign that engages consumers and creates traction using the right marketing channels. Your campaign might be an integrated social media program, an event-driven workshop, a sales outreach initiative or something entirely different. You will learn how to view the customer engagement experience through the eyes of your target market to effectively build a strong brand. Finally, you will learn how to evaluate and measure the success of your campaign to ensure you can either repeat successful marketing initiatives that worked or pivot when the campaign does not meet your business growth goals. Business & Management"
Dog Behavior: Problems and Solutions,Arizona State University,Intermediate,https://www.edx.org/course/dog-behavior-problems-and-solutions,Have you ever wondered why your dog behaves a certain way? Learn the science behind a dog’s behavior and how to critically evaluate different techniques of dog training.,"Dogs can be our most beloved pets and companions, but our lives with them are not without difficulties. Whether it be excessive barking, jumping on furniture or chewing your favorite pair of shoes, it can sometimes be frustrating getting your dog to be obedient and behave. In this course, you will explore modern approaches to dog behavioral problems and training that incorporates the latest findings from behavioral science. This course is for dog trainers, behaviorists and anyone who wants to learn about dogs and their behavior. The course will cover the use of behavioral functional analysis to: By the end of this course, you will better understand your dog and how to best train them based on their specific behavior and temperament. Social Sciences"
The Business of Mining,Curtin University,Beginner,https://www.edx.org/course/the-business-of-mining,"Learn the theory behind running a mine and see if you've got what it takes to explore, plan, operate and close a mining operation.","Mining underpins much of our technology and industries as well as modern society in general. A successful mine should be run efficiently and responsibly from exploration through to closure, with sound economic management every step of the way. In this course you’ll examine the business aspect of mining, focusing on the life cycle of a gold mine and discovering the technical and economic issues that affect the exploration, planning, operation and closure of a large-scale mining project.The Business of Mining has recently won the Best in Class in the University category of the Interactive Media Awards in the USA. The judging criteria included design, content, feature functionality, usability, standards compliance and cross-browser compatibility.By the end of this course you will be able to: Business & Management"
"Social Work Practice in Community Organization, Management and Policy/Evaluation",The University of Michigan,Advanced,https://www.edx.org/course/social-work-practice-in-community-organization-man,Learn about macro social work and how to have large scale impact on entire communities and systems of care.,"In this social science course we will discuss various methods, strategies and skills within macro social work practice, used to help identify and address needs on a larger scale. You will gain knowledge and skills in the areas of community organizing, management, and policy advocacy, and learn about the various roles social workers play within these areas. This course will provide an appreciation of the historical and contemporary importance of these social work methods and the relevance of these methods for diverse populations and identities.We will focus on:You will also learn concepts and practice skills involving assessment, problem solving and intervention planning at the macro level, and strategies to work effectively with communities and organizations. Content includes reflective practice and utilizing interpersonal skills in macro practice.This course is part of the Social Work: Practice, Policy and Research MicroMasters Program offered by MichiganX. Please note that to complete this program with a MicroMasters certificate, you must be enrolled as a verified learner in all courses in the program by November 30, 2020, and you must complete all assessments by March 29, 2021.On completion of this course, you will be able to: Social Sciences"
The Business of Aging in the Longevity Economy,Georgetown University,Beginner,https://www.edx.org/course/the-business-of-aging-in-the-longevity-economy,"The Business of Aging in the Longevity Economy will introduce you to the interdisciplinary field of aging, important concepts of senior living administration, and to the master of science degree at Georgetown University in Aging & Health. This three-module course is appropriate for anyone interested in learning about aging personally or professionally, including college graduates who are interested in aging social and policy issues as well as mid-career or encore-career students who seek professional advancement or a shift in the career track.","As we continue to live longer and healthier lives, it is vital that we develop innovative solutions to support the aging and their caregivers to enable fulfilling and comfortable living for all. These solutions require a multidisciplinary approach to construct healthier understandings of aging and build a more age-integrated society.The Business of Aging in the Longevity Economy will introduce you to the interdisciplinary field of aging, important concepts of senior living administration, and to the master of science degree at Georgetown University in Aging & Health. This three-module course is appropriate for anyone interested in learning about aging personally or professionally, including college graduates who are interested in aging social and policy issues as well as mid-career or encore-career students who seek professional advancement or a shift in career track.We feature faculty experts who address the following topics:In this context, we will take you on a virtual tour of a senior living community and hear first-hand from industry experts on the business models being implemented. We will also hear from students in the Aging and Health Masters’ program who will share their insights as they prepare to enter the workforce.Following are the key contributors:You will come away from this course with better understandings of aging and health and how we can work to address modern -- and future -- senior care needs. You will develop further understanding of the fundamental current issues underlying the global longevity economy, which is estimated to be $15 trillion in 2020. These include accommodating an older workforce, enabling people to live comfortably as they age in place at home or in senior living communities, and serving the needs of family caregivers. Social Sciences"
Understanding the Australian Health Care System,The University of Queensland,Beginner,https://www.edx.org/course/understanding-the-australian-health-care-system,Understand and navigate the complexities of Australia’s world-leading health care system by following patient journeys.,"This course will enable you to understand the workings of the Australian health care system. By following in the footsteps of patient journeys, you will gain an experiential understanding of how this multi-layered system operates in the context of the geographic, social and cultural landscapes of Australia and how to successfully navigate within this system.This course will enable you to answer questions such as:You will engage in many activities throughout this course to explore these and other questions.On completion of this course, you should be able to: Medicine"
Age of Sustainable Development,SDG Academy,Intermediate,https://www.edx.org/course/age-of-sustainable-development,"Learn the basics of sustainable development -- what it is, why it's important and how we can achieve it.","Sustainable development is the most urgent challenge facing humanity. Its fundamental question is: How can the world economy continue to develop in a way that is socially inclusive and environmentally sustainable? This course provides a broad overview of the interactions between the economy and our environment and humanity, from the constraints of finite resources, to the activities that drive climate change, to equality for all. This course is an updated version of Professor Sachs' popular 2015 course of the same name. It includes new perspectives and a reorientation towards Agenda 2030 and the SDGs. Join us for this introduction to the tenets of sustainable development, developed by experts on the latest in the social, policy and physical sciences. This course is for:  Social Sciences"
