Day,Date,Hour,Country,Event,Actual,Previous,Consensus,Forecast
Friday,12/10/21,8:30,US,Inflation Rate YoY NOV,0.068,6.20%,0.068,0.069
Friday,12/10/21,10:00,US,Michigan Consumer Sentiment Prel DEC,70.4,67.4,67.1,67
Sunday,12/12/21,18:50,JP,Tankan Large Manufacturers Index Q4,18,18,19,20
Tuesday,12/14/21,2:00,GB,Claimant Count Change NOV,-49.8K,-14.9K,,-20K
Tuesday,12/14/21,21:00,CN,Industrial Production YoY NOV,0.038,3.50%,0.036,0.034
Tuesday,12/14/21,21:00,CN,Retail Sales YoY NOV,0.039,4.90%,0.046,0.048
Wednesday,12/15/21,2:00,GB,Inflation Rate YoY NOV,0.051,4.20%,0.047,0.05
Wednesday,12/15/21,8:30,CA,Inflation Rate YoY NOV,0.047,4.70%,0.047,0.049
Wednesday,12/15/21,8:30,US,Retail Sales MoM NOV,0.003,1.80%,0.008,0.01
Wednesday,12/15/21,14:30,US,Fed Press Conference,,,,
Wednesday,12/15/21,18:50,JP,Balance of Trade NOV,-954.8B,-68.5B,-675B,-700B
Thursday,12/16/21,4:00,EA,Markit Composite PMI Flash DEC,53.4,55.4,54,54.2
Thursday,12/16/21,4:30,GB,Markit/CIPS Composite PMI Flash DEC,53.2,57.6,56.4,56.5
Thursday,12/16/21,7:00,GB,BoE Quantitative Easing,875B,875B,875B,875B
Thursday,12/16/21,8:30,US,Building Permits NOV,1.712M,1.653M,1.663M,1.63M
Thursday,12/16/21,9:45,US,Markit Manufacturing PMI Flash DEC,57.8,58.3,58.5,58.5
Thursday,12/16/21,9:45,US,Markit Services PMI Flash DEC,57.5,58,58.5,58.2
Thursday,12/16/21,19:01,GB,GfK Consumer Confidence DEC,-15,-14,,-16
Friday,12/17/21,2:00,GB,Retail Sales MoM NOV,0.014,1.10%,0.008,0.01
Sunday,12/19/21,20:30,CN,Loan Prime Rate 1Y,0.038,3.85%,,0.0385
Thursday,12/23/21,8:30,US,Durable Goods Orders MoM NOV,0.025,0.10%,0.016,0.011
Thursday,12/23/21,8:30,US,Personal Income MoM NOV,0.004,0.50%,0.004,0.003
Thursday,12/23/21,8:30,US,Personal Spending MoM NOV,0.006,1.40%,0.006,0.005
Thursday,12/23/21,18:30,JP,Inflation Rate YoY NOV,0.006,0.10%,,0.004
Thursday,12/30/21,20:00,CN,NBS Manufacturing PMI DEC,50.3,50.1,50,50.5
Monday,01/03/22,20:45,CN,Caixin Manufacturing PMI DEC,50.9,49.9,50,50.1
Tuesday,01/04/22,10:00,US,ISM Manufacturing PMI DEC,58.7,61.1,60,60.2
Tuesday,01/04/22,10:00,US,JOLTs Job Openings NOV,10.562M,11.033M,11.075M,10.8M
Wednesday,01/05/22,0:00,JP,Consumer Confidence DEC,39.1,39.2,,39.8
Wednesday,01/05/22,14:00,US,FOMC Minutes,,,,
Thursday,01/06/22,8:30,CA,Balance of Trade NOV,3.13B,2.26B,2.03B,1.8B
Thursday,01/06/22,8:30,US,Balance of Trade NOV,-80.2B,-67.2B,-77.1B,-81.8B
Thursday,01/06/22,10:00,US,ISM Non-Manufacturing PMI DEC,62,69.1,66.9,67.5
Friday,01/07/22,5:00,EA,Inflation Rate YoY Flash DEC,0.05,4.90%,0.047,0.051
Friday,01/07/22,8:30,US,Non Farm Payrolls DEC,199K,249K,400K,425K
Friday,01/07/22,10:00,CA,Ivey PMI s.a DEC,45,61.2,,61
Tuesday,01/11/22,10:00,US,Fed Chair Powell Testimony,,,,
Tuesday,01/11/22,20:30,CN,Inflation Rate YoY DEC,0.015,2.30%,0.018,0.02
Wednesday,01/12/22,8:30,US,Core Inflation Rate YoY DEC,0.055,4.90%,0.054,0.054
Wednesday,01/12/22,8:30,US,Inflation Rate YoY DEC,0.07,6.80%,0.07,0.071
Thursday,01/13/22,22:00,CN,Exports YoY DEC,0.209,22%,0.2,0.21
Thursday,01/13/22,22:00,CN,Imports YoY DEC,0.195,31.70%,0.263,0.27
Friday,01/14/22,2:00,GB,Balance of Trade NOV,0.626B,0.151B,,-2.7B
Friday,01/14/22,2:00,GB,GDP MoM NOV,0.009,0.20%,0.004,0.003
Friday,01/14/22,8:30,US,Retail Sales MoM DEC,-0.019,0.20%,0,0.003
Friday,01/14/22,10:00,US,Michigan Consumer Sentiment Prel JAN,68.8,70.6,70,70.4
Sunday,01/16/22,21:00,CN,Industrial Production YoY DEC,0.043,3.80%,0.036,0.037
Sunday,01/16/22,21:00,CN,Retail Sales YoY DEC,0.017,3.90%,0.037,0.037
Tuesday,01/18/22,2:00,GB,Claimant Count Change DEC,-43.3K,-95.1K,,-36K
Wednesday,01/19/22,2:00,GB,Inflation Rate YoY DEC,0.054,5.10%,0.052,0.052
Wednesday,01/19/22,8:30,CA,Inflation Rate YoY DEC,0.048,4.70%,0.048,0.048
Wednesday,01/19/22,8:30,US,Building Permits DEC,1.873M,1.717M,1.701M,1.72M
Wednesday,01/19/22,18:50,JP,Balance of Trade DEC,-582.4B,-955.6B,-784.1B, -700B
Wednesday,01/19/22,20:15,CN,Loan Prime Rate 1Y,0.037,3.80%,,0.038
Thursday,01/20/22,18:30,JP,Inflation Rate YoY DEC,0.008,0.60%,,0.007
Thursday,01/20/22,19:01,GB,Gfk Consumer Confidence JAN,-19,-15,-15,-18
Friday,01/21/22,2:00,GB,Retail Sales MoM DEC,-0.037,1%,-0.006,-0.006
Sunday,01/23/22,19:30,JP,Jibun Bank Composite PMI Flash JAN,48.8,52.5,,52.1
Monday,01/24/22,4:00,EA,Markit Composite PMI Flash JAN,52.4,53.3,52.6,52.6
Monday,01/24/22,4:30,GB,Markit/CIPS Composite PMI Flash JAN,53.4,53.6,55,54
Monday,01/24/22,9:45,US,Markit Composite PMI Flash JAN,50.8,57,,56.7
Wednesday,01/26/22,10:00,CA,BoC Monetary Policy Report,,,,
Wednesday,01/26/22,14:30,US,Fed Press Conference,,,,
Thursday,01/27/22,8:30,US,Durable Goods Orders MoM DEC,-0.009,3.20%,-0.005,-0.002
Friday,01/28/22,8:30,US,Personal Income MoM DEC,0.003,0.50%,0.005,0.005
Friday,01/28/22,8:30,US,Personal Spending MoM DEC,-0.006,0.40%,-0.006,-0.003
Saturday,01/29/22,20:45,CN,Caixin Manufacturing PMI JAN,49.1,50.9,50.4,50.6
Saturday,01/29/22,20:45,CN,NBS Manufacturing PMI JAN,50.1,50.3,50,50.1
Monday,01/31/22,0:00,JP,Consumer Confidence JAN,36.7,39.1,,39.5
Tuesday,02/01/22,10:00,US,ISM Manufacturing PMI JAN,57.6,58.8,57.5,58
Tuesday,02/01/22,10:00,US,JOLTs Job Openings DEC,10.925M,10.775M,10.3M,10.52M
Wednesday,02/02/22,5:00,EA,Inflation Rate YoY Flash JAN,0.051,5%,0.044,0.045
Thursday,02/03/22,10:00,US,ISM Non-Manufacturing PMI JAN,59.9,62.3,59.5,61
Friday,02/04/22,8:30,US,Non Farm Payrolls JAN,467K,510K,150K,30K
Friday,02/04/22,10:00,CA,Ivey PMI s.a JAN,50.7,45,,50
Tuesday,02/08/22,8:30,CA,Balance of Trade DEC,-0.14B,2.47B,2.5B, 1.5B
Tuesday,02/08/22,8:30,US,Balance of Trade DEC,-80.7B,-79.3B,-83B,-83.2B
Thursday,02/10/22,8:30,US,Core Inflation Rate YoY JAN,0.06,5.50%,0.059,0.057
Thursday,02/10/22,8:30,US,Inflation Rate YoY JAN,0.075,7%,0.073,0.071
Friday,02/11/22,2:00,GB,Balance of Trade DEC,-2.34B,-2.59B,, -3.1B
Friday,02/11/22,2:00,GB,GDP MoM DEC,-0.002,0.70%,-0.006,-0.002
Friday,02/11/22,2:00,GB,GDP YoY DEC,0.06,7.50%,0.063,0.067
Friday,02/11/22,10:00,US,Michigan Consumer Sentiment Prel FEB,61.7,67.2,67.5,67.5
Tuesday,02/15/22,2:00,GB,Claimant Count Change JAN,-31.9K,-43.3K,-28K,-27K
Tuesday,02/15/22,20:30,CN,Inflation Rate YoY JAN,0.009,1.50%,0.01,0.014
Wednesday,02/16/22,2:00,GB,Inflation Rate YoY JAN,0.055,5.40%,0.054,0.055
Wednesday,02/16/22,8:30,CA,Inflation Rate YoY JAN,0.051,4.80%,0.048,0.05
Wednesday,02/16/22,8:30,US,Retail Sales MoM JAN,0.038,-2.50%,0.02,0.015
Wednesday,02/16/22,14:00,US,FOMC Minutes,,,,
Wednesday,02/16/22,18:50,JP,Balance of Trade JAN,-2191.1B,-583.3B,-1607B,-1800B
Thursday,02/17/22,8:30,US,Building Permits JAN,1.899M,1.885M,1.76M,1.79M
Thursday,02/17/22,18:30,JP,Inflation Rate YoY JAN,0.005,0.80%,,0.009
Friday,02/18/22,2:00,GB,Retail Sales MoM JAN,0.019,-4%,0.01,0.009
Sunday,02/20/22,20:15,CN,Loan Prime Rate 1Y,0.037,3.70%,0.037,0.037
Monday,02/21/22,4:30,GB,Markit/CIPS Manufacturing PMI Flash FEB,57.3,57.3,57.2,57.6
Monday,02/21/22,4:30,GB,Markit/CIPS UK Services PMI Flash FEB,60.8,54.1,55.5,55
Thursday,02/24/22,19:01,GB,Gfk Consumer Confidence FEB,-26,-19,-18,-16
Friday,02/25/22,8:30,US,Durable Goods Orders MoM JAN,0.016,1.20%,0.008,0.004
Friday,02/25/22,8:30,US,Personal Income MoM JAN,0,0.40%,-0.003,0.001
Friday,02/25/22,8:30,US,Personal Spending MoM JAN,0.021,-0.80%,0.015,0.007
Monday,02/28/22,20:30,CN,NBS Manufacturing PMI FEB,50.2,50.1,49.9,50.4
Monday,02/28/22,20:45,CN,Caixin Manufacturing PMI FEB,50.4,49.1,49.3,49.3
Tuesday,03/01/22,10:00,US,ISM Manufacturing PMI FEB,58.6,57.6,58,58.1
Wednesday,03/02/22,5:00,EA,Inflation Rate YoY Flash FEB,0.058,5.10%,0.054,0.052
Thursday,03/03/22,0:00,JP,Consumer Confidence FEB,35.3,36.7,,36
Thursday,03/03/22,10:00,US,Fed Chair Powell Testimony,,,,
Thursday,03/03/22,10:00,US,ISM Non-Manufacturing PMI FEB,56.5,59.9,61,61
Friday,03/04/22,8:30,US,Non Farm Payrolls FEB,678K,481K,400K,350K
Friday,03/04/22,10:00,CA,Ivey PMI s.a FEB,60.6,50.7,,52
Sunday,03/06/22,22:00,CN,Balance of Trade JAN-FEB,115.95B,94.46B,99.5B,120B
Tuesday,03/08/22,8:30,CA,Balance of Trade JAN,2.62B,-1.58B,1.6B,1.3B
Tuesday,03/08/22,8:30,US,Balance of Trade JAN,-89.7B,-82B,-87.1B,-84B
Tuesday,03/08/22,20:30,CN,Inflation Rate YoY FEB,0.009,0.90%,0.009,0.009
Wednesday,03/09/22,10:00,US,JOLTs Job Openings JAN,11.263M,11.448M,10.925M,10.8M
Thursday,03/10/22,8:30,US,Core Inflation Rate YoY FEB,0.064,6%,0.064,0.064
Thursday,03/10/22,8:30,US,Inflation Rate YoY FEB,0.079,7.50%,0.079,0.079
Friday,03/11/22,2:00,GB,GDP MoM JAN,0.008,-0.20%,0.002,0.003
Friday,03/11/22,10:00,US,Michigan Consumer Sentiment Prel MAR,59.7,62.8,61.4,62
Monday,03/14/22,21:00,CN,Industrial Production YoY JAN-FEB,0.075,4.30%,0.039,0.038
Tuesday,03/15/22,2:00,GB,Claimant Count Change FEB,-48.1K,-67.3K,,-25K
Tuesday,03/15/22,7:30,US,PPI MoM FEB,0.008,1.20%,0.009,0.011
Tuesday,03/15/22,18:50,JP,Balance of Trade FEB,-668.3B,-2193.5B,-112.6B,-150B
Wednesday,03/16/22,7:30,CA,Inflation Rate YoY FEB,0.057,5.10%,0.055,0.054
Wednesday,03/16/22,7:30,US,Retail Sales MoM FEB,0.003,4.90%,0.004,0.007
Wednesday,03/16/22,13:30,US,Fed Press Conference,,,,
Thursday,03/17/22,7:30,US,Building Permits FEB,1.859M,1.895M,1.85M,1.86M
Thursday,03/17/22,18:30,JP,Inflation Rate YoY FEB,0.009,0.50%,,0.007
Wednesday,03/23/22,2:00,GB,Inflation Rate YoY FEB,0.062,5.50%,0.059,0.061
Thursday,03/24/22,4:30,GB,Markit/CIPS Manufacturing PMI Flash MAR,55.5,58,56.7,57.1
Thursday,03/24/22,4:30,GB,Markit/CIPS UK Services PMI Flash MAR,61,60.5,58,58.8
Thursday,03/24/22,7:30,US,Durable Goods Orders MoM FEB,-0.022,1.60%,-0.005,-0.005
Thursday,03/24/22,19:01,GB,Gfk Consumer Confidence MAR,-31,-26,-30,-35
Friday,03/25/22,2:00,GB,Retail Sales MoM FEB,-0.003,1.90%,0.006,0.007
Tuesday,03/29/22,9:00,US,JOLTs Job Openings FEB,11.266M,11.283M,11M,11.1M
Wednesday,03/30/22,20:30,CN,NBS Manufacturing PMI MAR,49.5,50.2,49.9,49.1
Thursday,03/31/22,7:30,US,Personal Income MoM FEB,0.005,0.10%,0.005,0.006
Thursday,03/31/22,7:30,US,Personal Spending MoM FEB,0.002,2.70%,0.005,0.004
Thursday,03/31/22,18:50,JP,Tankan Large Manufacturers Index Q1,14,18,12,13
Thursday,03/31/22,20:45,CN,Caixin Manufacturing PMI MAR,48.1,50.4,50,49.1
Friday,04/01/22,4:00,EA,Inflation Rate YoY Flash MAR,0.075,5.90%,0.066,0.069
Friday,04/01/22,7:30,US,Non Farm Payrolls MAR,431K,750K,490K,460K
Friday,04/01/22,9:00,US,ISM Manufacturing PMI MAR,57.1,58.6,59,58.5
Tuesday,04/05/22,7:30,CA,Balance of Trade FEB,2.66B,3.12B,2.9B,2.4B
Tuesday,04/05/22,7:30,US,Balance of Trade FEB,-89.2B,-89.2B,-88.5B,-88B
Tuesday,04/05/22,9:00,US,ISM Non-Manufacturing PMI MAR,58.3,56.5,58.4,58.1
Wednesday,04/06/22,9:00,CA,Ivey PMI s.a MAR,74.2,60.6,60,61
Wednesday,04/06/22,13:00,US,FOMC Minutes,,,,
Friday,04/08/22,0:00,JP,Consumer Confidence MAR,32.8,35.3,,34
Sunday,04/10/22,20:30,CN,Inflation Rate YoY MAR,0.015,0.90%,0.012,0.012
Monday,04/11/22,1:00,GB,GDP MoM FEB,0.001,0.80%,0.003,0.005
Tuesday,04/12/22,1:00,GB,Claimant Count Change MAR,-46.9K,-58K,,-31K
Tuesday,04/12/22,7:30,US,Core Inflation Rate YoY MAR,0.065,6.40%,0.066,0.067
Tuesday,04/12/22,7:30,US,Inflation Rate YoY MAR,0.085,7.90%,0.084,0.083
Tuesday,04/12/22,23:30,CN,Balance of Trade MAR,47.38B,115.95B,22.4B,25B
Wednesday,04/13/22,1:00,GB,Inflation Rate YoY MAR,0.07,6.20%,0.067,0.07
Wednesday,04/13/22,7:30,US,PPI MoM MAR,0.014,0.90%,0.011,0.01
Wednesday,04/13/22,9:00,CA,BoC Monetary Policy Report,,,,
Thursday,04/14/22,7:30,US,Retail Sales MoM MAR,0.005,0.80%,0.006,0.004
Thursday,04/14/22,9:00,US,Michigan Consumer Sentiment Prel APR,65.7,59.4,59,58.8
Sunday,04/17/22,21:00,CN,Industrial Production YoY MAR,0.05,7.50%,0.045,0.042
Tuesday,04/19/22,7:30,US,Building Permits MAR,1.873M,1.865M,1.825M,1.81M
Tuesday,04/19/22,18:50,JP,Balance of Trade MAR,-412.4B,-669.7B,-100.8B, -100B
Wednesday,04/20/22,7:30,CA,Inflation Rate YoY MAR,0.067,5.70%,0.061,0.06
Thursday,04/21/22,18:30,JP,Inflation Rate YoY MAR,0.012,0.90%,,0.011
Thursday,04/21/22,21:10,GB,Gfk Consumer Confidence APR,-38,-31,-33,-33
Friday,04/22/22,1:00,GB,Retail Sales MoM MAR,-0.014,-0.50%,-0.003,-0.001
Friday,04/22/22,3:30,GB,S&P Global/CIPS Manufacturing PMI Flash APR,55.3,55.2,54,54.8
Friday,04/22/22,3:30,GB,S&P Global/CIPS UK Services PMI Flash APR,58.3,62.6,60,58.9
Tuesday,04/26/22,7:30,US,Durable Goods Orders MoM MAR,0.008,-1.70%,0.01,0.011
Friday,04/29/22,4:00,EA,Inflation Rate YoY Flash APR,0.075,7.40%,0.075,0.074
Friday,04/29/22,7:30,US,Personal Income MoM MAR,0.005,0.70%,0.004,0.004
Friday,04/29/22,7:30,US,Personal Spending MoM MAR,0.011,0.60%,0.007,0.005
Friday,04/29/22,20:30,CN,NBS Manufacturing PMI APR,47.4,49.5,48,49.1
Friday,04/29/22,20:45,CN,Caixin Manufacturing PMI APR,46,48.1,47,47.9
Friday,04/29/22,0:00,JP,Consumer Confidence APR,33,32.8,,31.7
Friday,04/29/22,9:00,US,ISM Manufacturing PMI APR,55.4,57.1,57.6,57.5
Tuesday,05/03/22,9:00,US,JOLTs Job Openings MAR,11.549M,11.344M,11M,11.27M
Wednesday,05/04/22,7:30,CA,Balance of Trade MAR,2.49B,3.08B,3.9B,2.3B
Wednesday,05/04/22,7:30,US,Balance of Trade MAR,-109.8B,-89.8B,-107B, -92B
Wednesday,05/04/22,9:00,US,ISM Non-Manufacturing PMI APR,57.1,58.3,58.5,58.5
Wednesday,05/04/22,13:30,US,Fed Press Conference,,,,
Wednesday,05/04/22,7:30,US,Non Farm Payrolls APR,428K,428K,391K,415K
Wednesday,05/04/22,9:00,CA,Ivey PMI s.a APR,66.3,74.2,,73.8
Wednesday,05/04/22,23:00,CN,Balance of Trade APR,51.12B,47.38B,50.65B,53B
Tuesday,05/10/22,20:30,CN,Inflation Rate YoY APR,0.021,1.50%,0.018,0.018
Wednesday,05/11/22,7:30,US,Core Inflation Rate YoY APR,0.062,6.50%,0.06,0.062
Wednesday,05/11/22,7:30,US,Inflation Rate YoY APR,0.083,8.50%,0.081,0.082
Thursday,05/12/22,1:00,GB,GDP MoM MAR,-0.001,0%,0,0.001
Thursday,05/12/22,7:30,US,PPI MoM APR,0.005,1.60%,0.005,0.005
Thursday,05/12/22,9:00,US,Michigan Consumer Sentiment Prel 05,59.1,65.2,64,63.5
Thursday,05/12/22,21:00,CN,Industrial Production YoY APR,-0.029,5%,0.004,0.004
Thursday,05/12/22,,EA,European Commission Spring Forecasts,,,,
Tuesday,05/17/22,1:00,GB,Claimant Count Change APR,-56.9K,-81.6K,-42.5K,-42K
Tuesday,05/17/22,7:30,US,Retail Sales MoM APR,0.009,1.40%,0.009,0.006
Tuesday,05/17/22,13:00,US,Fed Chair Powell Speech ,,,,
Wednesday,05/18/22,1:00,GB,Inflation Rate YoY APR,0.09,7%,0.091,0.089
Wednesday,05/18/22,7:30,CA,Inflation Rate YoY APR,0.068,6.70%,0.067,0.066
Wednesday,05/18/22,7:30,US,Building Permits APR,1.819M,1.879M,1.812M,1.82M
Wednesday,05/18/22,18:50,JP,Balance of Trade APR,-839.2B,-414.1B,-1150B,-1000B
Thursday,05/19/22,18:01,GB,Gfk Consumer Confidence 05,-40,-38,-39,-40
Thursday,05/19/22,18:30,JP,Inflation Rate YoY APR,0.025,1.20%,,0.015
Thursday,05/19/22,1:00,GB,Retail Sales MoM APR,0.014,-1.20%,-0.002,-0.002
Tuesday,05/24/22,3:30,GB,S&P Global/CIPS Manufacturing PMI Flash 05,54.6,55.8,55,55.2
Tuesday,05/24/22,3:30,GB,S&P Global/CIPS UK Services PMI Flash 05,51.8,58.9,57,58.5
Wednesday,05/25/22,7:30,US,Durable Goods Orders MoM APR,0.004,0.60%,0.006,0.004
Wednesday,05/25/22,13:00,US,FOMC Minutes,,,,
Wednesday,05/25/22,7:30,US,Personal Income MoM APR,0.004,0.50%,0.005,0.006
Wednesday,05/25/22,7:30,US,Personal Spending MoM APR,0.009,1.40%,0.007,0.008
Wednesday,05/25/22,20:30,CN,NBS Manufacturing PMI 05,49.6,47.4,,48.9
Tuesday,05/31/22,0:00,JP,Consumer Confidence 05,34.1,33,,33.5
Tuesday,05/31/22,4:00,EA,Inflation Rate YoY Flash 05,0.081,7.40%,0.077,0.076
Tuesday,05/31/22,20:45,CN,Caixin Manufacturing PMI 05,48.1,46,48,48
Wednesday,06/01/22,9:00,US,ISM Manufacturing PMI 05,56.1,55.4,54.5,54.8
Wednesday,06/01/22,9:00,US,JOLTs Job Openings APR,11.4M,11.855M,11.4M,11.4M
Friday,06/03/22,7:30,US,Non Farm Payrolls 05,390K,436K,325K,320K
Friday,06/03/22,9:00,US,ISM Non-Manufacturing PMI 05,55.9,57.1,56.4,55
Tuesday,06/07/22,7:30,CA,Balance of Trade APR,1.5B,2.28B,2.9B,2.8B
Tuesday,06/07/22,7:30,US,Balance of Trade APR,-87.1B,-107.7B,-89.5B,-91B
Tuesday,06/07/22,9:00,CA,Ivey PMI s.a 05,72,66.3,,64
Wednesday,06/08/22,22:00,CN,Balance of Trade 05,78.76B,51.12B,58B,50B
Thursday,06/09/22,20:30,CN,Inflation Rate YoY 05,0.021,2.10%,0.022,0.02
Friday,06/10/22,7:30,US,Core Inflation Rate YoY 05,0.06,6.20%,0.059,0.06
Friday,06/10/22,7:30,US,Inflation Rate YoY 05,0.086,8.30%,0.083,0.083
Friday,06/10/22,9:00,US,Michigan Consumer Sentiment Prel JUN,50.2,58.4,58,59
Monday,06/13/22,1:00,GB,GDP MoM APR,-0.003,-0.10%,0.001,0
Tuesday,06/14/22,1:00,GB,Claimant Count Change 05,-19.7K,-65.5K,-49.4K,-29K
Tuesday,06/14/22,7:30,US,PPI MoM 05,0.008,0.40%,0.008,0.007
Tuesday,06/14/22,21:00,CN,Industrial Production YoY 05,0.007,-2.90%,-0.007,-0.008
Tuesday,06/14/22,,EA,ECB Unscheduled Meeting to Discuss Markets,,,,
Wednesday,06/15/22,7:30,US,Retail Sales MoM 05,-0.003,0.70%,0.002,0.003
Wednesday,06/15/22,13:30,US,Fed Press Conference,,,,
Wednesday,06/15/22,18:50,JP,Balance of Trade 05,-2384.7B,-842.8B,-2022.6B,-1750B
Thursday,06/16/22,7:30,US,Building Permits 05,1.695M,1.823M,1.785M,1.79M
Wednesday,06/22/22,1:00,GB,Inflation Rate YoY 05,0.091,9%,0.091,0.092
Wednesday,06/22/22,7:30,CA,Inflation Rate YoY 05,0.077,6.80%,0.074,0.07
Wednesday,06/22/22,8:30,US,Fed Chair Powell Testimony,,,,
Thursday,06/23/22,3:30,GB,S&P Global/CIPS Manufacturing PMI Flash JUN,53.4,54.6,53.7,54.2
Thursday,06/23/22,9:00,US,Fed Chair Powell Testimony,,,,
Thursday,06/23/22,18:01,GB,Gfk Consumer Confidence JUN,-41,-40,-40,-42
Thursday,06/23/22,18:30,JP,Inflation Rate YoY 05,0.025,2.50%,,0.023
Friday,06/24/22,1:00,GB,Retail Sales MoM 05,-0.005,0.40%,-0.007,-0.003
Sunday,06/26/22,,EA,ECB Forum on Central Banking,,,,
Monday,06/27/22,7:30,US,Durable Goods Orders MoM 05,0.007,0.40%,0.001,-0.003
Monday,06/27/22,,EA,ECB Forum on Central Banking,,,,
Tuesday,06/28/22,,EA,ECB Forum on Central Banking,,,,
Wednesday,06/29/22,0:00,JP,Consumer Confidence JUN,32.1,34.1,,33
Wednesday,06/29/22,8:00,EA,ECB President Lagarde Speech ,,,,
Wednesday,06/29/22,8:00,GB,BoE Gov Bailey Speech ,,,,
Wednesday,06/29/22,8:00,US,Fed Chair Powell Speech ,,,,
Wednesday,06/29/22,20:30,CN,NBS Manufacturing PMI JUN,50.2,49.6,50.5,48.3
Thursday,06/30/22,7:30,US,Personal Income MoM 05,0.005,0.50%,0.005,0.003
Thursday,06/30/22,7:30,US,Personal Spending MoM 05,0.002,0.60%,0.004,0.008
Thursday,06/30/22,8:30,EA,ECB President Lagarde Speech ,,,,
Thursday,06/30/22,18:50,JP,Tankan Large Manufacturers Index Q2,9,14,13,10
Thursday,06/30/22,20:45,CN,Caixin Manufacturing PMI JUN,51.7,48.1,50.1,50.5
Friday,07/01/22,4:00,EA,Inflation Rate YoY Flash JUN,0.086,8.10%,0.084,0.083
Friday,07/01/22,9:00,US,ISM Manufacturing PMI JUN,53,56.1,54.9,55
Tuesday,07/05/22,3:30,GB,S&P Global/CIPS UK Services PMI Final JUN,54.3,53.4,53.4,53.4
Wednesday,07/06/22,9:00,US,ISM Non-Manufacturing PMI JUN,55.3,55.9,54.3,55.2
Wednesday,07/06/22,9:00,US,JOLTs Job Openings 05,11.254M,11.681M,11M,11.3M
Wednesday,07/06/22,13:00,US,FOMC Minutes,,,,
Thursday,07/07/22,7:30,CA,Balance of Trade 05,5.32B,2.17B,2.4B,1.9B
Thursday,07/07/22,7:30,US,Balance of Trade 05,-85.5B,-86.7B,-84.9B,-86B
Thursday,07/07/22,9:00,CA,Ivey PMI s.a JUN,62.2,72,,64
Friday,07/08/22,7:30,US,Non Farm Payrolls JUN,372K,384K,268K,300K
Friday,07/08/22,20:30,CN,Inflation Rate YoY JUN,0.025,2.10%,0.024,0.023
Wednesday,07/13/22,1:00,GB,GDP MoM 05,0.005,-0.20%,0,-0.001
Wednesday,07/13/22,1:30,CN,Balance of Trade JUN,97.94B,78.76B,75.7B,76B
Wednesday,07/13/22,7:30,US,Core Inflation Rate YoY JUN,0.059,6%,0.057,0.058
Wednesday,07/13/22,7:30,US,Inflation Rate YoY JUN,0.091,8.60%,0.088,0.088
Wednesday,07/13/22,9:00,CA,BoC Monetary Policy Report,,,,
Thursday,07/14/22,7:30,US,PPI MoM JUN,0.011,0.90%,0.008,0.009
Thursday,07/14/22,21:00,CN,Industrial Production YoY JUN,0.039,0.70%,0.041,0.031
Friday,07/15/22,7:30,US,Retail Sales MoM JUN,0.01,-0.10%,0.008,0.005
Friday,07/15/22,9:00,US,Michigan Consumer Sentiment Prel JUL,51.1,50,49.9,49.3
Tuesday,07/19/22,1:00,GB,Claimant Count Change JUN,-20.1K,-34.7K,,-25K
Tuesday,07/19/22,7:30,US,Building Permits JUN,1.685M,1.695M,1.65M,1.68M
Wednesday,07/20/22,1:00,GB,Inflation Rate YoY JUN,0.094,9.10%,0.093,0.095
Wednesday,07/20/22,7:30,CA,Inflation Rate YoY JUN,0.081,7.70%,0.084,0.08
Wednesday,07/20/22,18:50,JP,Balance of Trade JUN,-1383.8B,-2385.8B,-1509.7B,-2500B
Thursday,07/21/22,18:01,GB,Gfk Consumer Confidence JUL,-41,-41,-42,-44
Thursday,07/21/22,18:30,JP,Inflation Rate YoY JUN,0.024,2.50%,,0.026
Friday,07/22/22,1:00,GB,Retail Sales MoM JUN,-0.001,-0.80%,-0.003,-0.002
Friday,07/22/22,3:30,GB,S&P Global/CIPS Manufacturing PMI Flash JUL,52.2,52.8,52,51.9
Wednesday,07/27/22,7:30,US,Durable Goods Orders MoM JUN,0.019,0.80%,-0.005,-0.003
Wednesday,07/27/22,13:30,US,Fed Press Conference,,,,
Friday,07/29/22,0:00,JP,Consumer Confidence JUL,30.2,32.1,,33
Friday,07/29/22,4:00,EA,Inflation Rate YoY Flash JUL,0.089,8.60%,0.086,0.09
Friday,07/29/22,7:30,US,Personal Income MoM JUN,0.006,0.60%,0.005,0.005
Friday,07/29/22,7:30,US,Personal Spending MoM JUN,0.011,0.30%,0.009,0.006
Saturday,07/30/22,20:30,CN,NBS Manufacturing PMI JUL,49,50.2,50.4,50.9
Sunday,07/31/22,20:45,CN,Caixin Manufacturing PMI JUL,50.4,51.7,51.5,52
Monday,08/01/22,9:00,US,ISM Manufacturing PMI JUL,52.8,53,52,52.2
Tuesday,08/02/22,9:00,US,JOLTs Job Openings JUN,10.698M,11.303M,11M,11M
Wednesday,08/03/22,3:30,GB,S&P Global/CIPS UK Services PMI Final JUL,52.6,54.3,53.3,53.3
Wednesday,08/03/22,9:00,US,ISM Non-Manufacturing PMI JUL,56.7,55.3,53.5,52.5
Thursday,08/04/22,7:30,CA,Balance of Trade JUN,5.05B,4.77B,4.8B,6B
Thursday,08/04/22,7:30,US,Balance of Trade JUN,-79.6B,-84.9B,-80.1B, -83B
