,S#,Teacher Name,University Currently Teaching,Department,Province University Located,Designation,Terminal Degree,Graduated from,Country,Year,Area of Specialization/Research Interests,Other Information
1519,1520,Sohail Imran,PAF-Karachi Institute of Economics and Technology,Computing & Information Sciences,Sindh,Permanent Faculty,MS,PAF-Karachi Institute of Economics and Technology,Pakistan,,"Big Data Analytics, Data Mining, Date warehousing",PhD in progress from PAK-KIEFT
1520,1521,Kashif Bashir,PAF-Karachi Institute of Economics and Technology,Computing & Information Sciences,Sindh,Assistant Professor,MS,PAF-Karachi Institute of Economics and Technology,Pakistan,,"Networking, Telecommunication and Wireless ad-hoc Networks",PhD in progress from PAK-KIEFT
1521,1522,Muhammad Affan Aleem,PAF-Karachi Institute of Economics and Technology,Computing & Information Sciences,Sindh,Assistant Professor,MS,Mohammad Ali Jinnah University,Pakistan,,"Image Processing, Pattern Recognition, Machine Learning",PhD in progress from PAK-KIEFT
1522,1523,Mohammad Ayub Latif,PAF-Karachi Institute of Economics and Technology,Computing & Information Sciences,Sindh,Faculty Member,MS,PAF-Karachi Institute of Economics and Technology,Pakistan,,"Software Engineering
Use of software metrics for improving software processes
Social network analysis",PhD in progress from PAK-KIEFT
1523,1524,Samrina Zameer,PAF-Karachi Institute of Economics and Technology,Computing & Information Sciences,Sindh,Assistant Professor,ME,NED University of Engineering And Technology,Pakistan,,"Electronics
Computer Network",PhD in progress from NED
1524,1525,Saad Rehman Shah,PAF-Karachi Institute of Economics and Technology,Computing & Information Sciences,Sindh,Faculty Member,MS,NCSU,Pakistan,,"Network Security
Technology in Education",
1525,1526,Muhammad Zafer Iqbal Siddiqui,PAF-Karachi Institute of Economics and Technology,Computing & Information Sciences,Sindh,Faculty Member,MS,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Pakistan,,"Software Design
Software Testing",
1526,1527,Urooj Waheed,PAF-Karachi Institute of Economics and Technology,Computing & Information Sciences,Sindh,Assistant Professor,MS,Institute of Business Administration,Pakistan,,"Computer Organization and Architecture
Intelligent Systems
Human Computer Interaction
Computer Negtworks",
1527,1528,Nadeem Qamar,PAF-Karachi Institute of Economics and Technology,Computing & Information Sciences,Sindh,Assistant Professor,MS,FAST– National University of Computer and Emerging Sciences,Pakistan,,"Human Computer Interaction
Artificial Intelligence",
1528,1529,Muhammad Naveed,PAF-Karachi Institute of Economics and Technology,Computing & Information Sciences,Sindh,Assistant Professor,MS,Usman Institute of Technology,Pakistan,,"WBAN (Wireless Body area Network), Wireless Adhoc Network, Wireless Sensor Network",PhD in progress from PAK-KIEFT
1529,1530,Tariq Saeed Tanoli,PAF-Karachi Institute of Economics and Technology,Computing & Information Sciences,Sindh,Permanent Faculty,MS,PAF-Karachi Institute of Economics and Technology,Pakistan,,"Security, Computer Networks, Telecommunication Infrastructure, Wireless ad-hoc Networks, System Administration.",
1530,1531,Hira Anwar Khan,PAF-Karachi Institute of Economics and Technology,Computing & Information Sciences,Sindh,Lecturer,MS,Institute of Business Administration,Pakistan,,"Human Computer Interaction
User Experience
Interaction Design
Intelligent Systems",
1531,1532,Muhammad Suleman,PAF-Karachi Institute of Economics and Technology,Computing & Information Sciences,Sindh,Assistant Professor,MS,"Hanyang University, Ansan",South Korea,,"System Architect
Machine Learning
Big data
Network Security",
1532,1533,Shah Muhammad Emaduddin,PAF-Karachi Institute of Economics and Technology,Computing & Information Sciences,Sindh,Assistant Professor,MS,Politecnico di Torino,Italy,,"Ubiquitous Computing, Wireless Networks",PhD in progress from PAK-KIEFT
1533,1534,Adnan Ullah Khan,PAF-Karachi Institute of Economics and Technology,Computing & Information Sciences,Sindh,Lecturer,MS,NED University of Engineering And Technology,Pakistan,,"Reports on  Census of Pakistan  1951,1961,1972,1981 and 1998
Demography Analysis of Pakistan
 Apply  Pearson’s System of frequency Curve in different date set of PDF, PGS with complete programming in R, SAS

?",Visiting
1534,1535,Waqas Azam,PAF-Karachi Institute of Economics and Technology,Computing & Information Sciences,Sindh,Assistant Professor,MBA,Mohammad Ali Jinnah University,Pakistan,,"Data Science, Predictive Analysis Based Decision Support System.",
1535,1536,Fizza,PAF-Karachi Institute of Economics and Technology,Computing & Information Sciences,Sindh,Permanent Faculty,MS,PAF-Karachi Institute of Economics and Technology,Pakistan,,"Software Costing and Estimation
Software Quality
Big Data Analytics",
1536,1537,Fawad Qureshi,PAF-Karachi Institute of Economics and Technology,Computing & Information Sciences,Sindh,Assistant Professor,BS,Purdue University,USA,,,
1537,1538, Syed Nabeel Ali,PAF-Karachi Institute of Economics and Technology,Computing & Information Sciences,Sindh,Lecturer,MS,NED University of Engineering And Technology,Pakistan,,,
1538,1539,Hira Beenish,PAF-Karachi Institute of Economics and Technology,Computing & Information Sciences,Sindh,Lecturer,MSTN,BUKC,Pakistan,,"MPLS on Satellite Communication
Wearable Body Area Networks
Network  Security",
1539,1540,Abdul Wahab Khan,PAF-Karachi Institute of Economics and Technology,Computing & Information Sciences,Sindh,Assistant Professor,MS,Mohammad Ali Jinnah University,Pakistan,,,PhD in progress from PAK-KIEFT
1540,1541,Sanjay Kumar,PAF-Karachi Institute of Economics and Technology,Computing & Information Sciences,Sindh,Lecturer,ME,NED University of Engineering And Technology,Pakistan,,"Analog IC designing
Semicinductor devices",
1541,1542,Urwah Lodhi,PAF-Karachi Institute of Economics and Technology,Computing & Information Sciences,Sindh,Lecturer,MS,NED University of Engineering And Technology,Pakistan,,"Artificial Intelligence
Software Engineering",
1542,1543,Solat Jabeen Sheikh,PAF-Karachi Institute of Economics and Technology,Computing & Information Sciences,Sindh,Permanent Faculty,MS,NED University of Engineering And Technology,Pakistan,,,
1543,1544,Muhammad Azam Khan,PAF-Karachi Institute of Economics and Technology,Computing & Information Sciences,Sindh,Permanent Faculty,MSC,Universtiy of Karachi,Pakistan,,,MSSE in progress from PAK-KIEFT
1544,1545,Rafi Ullah,PAF-Karachi Institute of Economics and Technology,Computing & Information Sciences,Sindh,Lecturer,BS,Hamdard University,Pakistan,,"Theoretical Computer Science
Algorithm & Complexities

 ",
1545,1546,Hasan Sardar,PAF-Karachi Institute of Economics and Technology,Computing & Information Sciences,Sindh,Faculty Member,BS,PAF-Karachi Institute of Economics and Technology,Pakistan,,"Information System Audit
Information Security
IT Governance
IT Risk Management
Telecommunication and Networking
Global IT Standards and Frameworks

 ",MS in progress from MAJU
1546,1547, Faisal Ahmed,PAF-Karachi Institute of Economics and Technology,Computing & Information Sciences,Sindh,Lecturer,M.Sc,Universtiy of Karachi,Pakistan,,"Machine Learning
Intelligent Systems
Theoretical Computer Science
Algorithm & Complexities
Energy Systems
Robotics
Renewable Energy.",MS in progress from PAK-KIET
1547,1548,Muhammad Zubair,PAF-Karachi Institute of Economics and Technology,Computing & Information Sciences,Sindh,Lecturer,BS,PAF-Karachi Institute of Economics and Technology,Pakistan,,"Data & Text Mining
Machine Learning
Information Retrieval",MS in progress from PAK-KIET
1548,1549,Abdul Hafeez Adam,PAF-Karachi Institute of Economics and Technology,Computing & Information Sciences,Sindh,Lecturer,BS,PAF-Karachi Institute of Economics and Technology,Pakistan,,"Big Data Analysis
NoSQL Databases
Grid Computing
Data Mining",
1549,1550,Amanullah Khan,PAF-Karachi Institute of Economics and Technology,Computing & Information Sciences,Sindh,Lecturer,BS,PAF-Karachi Institute of Economics and Technology,Pakistan,,,
1550,1551,Ibraheem Hassan,PAF-Karachi Institute of Economics and Technology,Computing & Information Sciences,Sindh,Lecturer,BS,PAF-Karachi Institute of Economics and Technology,Pakistan,,"Grid Computing
Data Mining",
1551,1552,M Qasim Ashraf,PAF-Karachi Institute of Economics and Technology,Computing & Information Sciences,Sindh,Lecturer,BS,PAF-Karachi Institute of Economics and Technology,Pakistan,,"Big Data Analysis
NoSQL Databases
Grid Computing
Data Mining",
1552,1553,Rohit Hansrajani,PAF-Karachi Institute of Economics and Technology,Computing & Information Sciences,Sindh,Lecturer,BE,NED University of Engineering And Technology,Pakistan,, Energy Systems,
1553,1554,Roshan A. Shaikh,Mohammad Ali Jinnah University,FACULTY OF COMPUTING & ENGINEERING,Sindh,Professor/Dean,Doctor of Professional Studies,"Pace University, New York",USA,,,
1554,1555,Asim Imdad Wagan,Mohammad Ali Jinnah University,FACULTY OF COMPUTING & ENGINEERING,Sindh,Associate Professor,PhD,"INSA de Lyon, Rhone",France,,,
1555,1556,Shaukat Wasi,Mohammad Ali Jinnah University,FACULTY OF COMPUTING & ENGINEERING,Sindh,Associate Professor/HoD,PhD,FAST– National University of Computer and Emerging Sciences,Pakistan,,,
1556,1557,Khaliq-ur-Rahman Raazi,Mohammad Ali Jinnah University,FACULTY OF COMPUTING & ENGINEERING,Sindh,Associate Professor/HoD,PhD,Kyung Hee University,South Korea,,,
1557,1558,Kashif Ishaque,Mohammad Ali Jinnah University,FACULTY OF COMPUTING & ENGINEERING,Sindh,Associate Professor,PhD,Universiti Teknologi PETRONAS,Malaysia,,"Modelling and simulation of grid-connected photovoltaic system, efficient battery charging devices for PV system, intelligent control, non-linear systems and exploitation of evolutionary algorithms such as genetic algorithm (GA), particle swarm optimization (PSO) and differential evolution (DE) in engineering applications.",
1558,1559,Haji Khan Soomro,Mohammad Ali Jinnah University,FACULTY OF COMPUTING & ENGINEERING,Sindh,Professor,PhD,University of Dundee,UK,,,
1559,1560,Syed Qutubuddin Ahmed,Mohammad Ali Jinnah University,FACULTY OF COMPUTING & ENGINEERING,Sindh,Assistant Professor,PhD,Illinois Institute of Technology,USA,,,
1560,1561,Syed Asad Hussain,Mohammad Ali Jinnah University,FACULTY OF COMPUTING & ENGINEERING,Sindh,Assistant Professor,PhD,City University of Science and Technology,HongKong,2017.0,"Building energy efficiency, data fusion, uncertainty analysis and robust control.",
1561,1562,Asmat Ara,Mohammad Ali Jinnah University,FACULTY OF COMPUTING & ENGINEERING,Sindh,Assistant Professor,PhD,University of Karachi,Pakistan,,,
1562,1563,Ahmer Umer,Mohammad Ali Jinnah University,FACULTY OF COMPUTING & ENGINEERING,Sindh,Assistant Professor,MS,Mohammad Ali Jinnah University,Pakistan,,,"PhD in progress from  Federal Urdu University of Arts, Science & Technology"
1563,1564,Aqeel Tahir,Mohammad Ali Jinnah University,FACULTY OF COMPUTING & ENGINEERING,Sindh,Assistant Professor,M.E,Usman Institute of Technology (Hamdard University),Pakistan,,,
1564,1565,Aamir Shaikh,Mohammad Ali Jinnah University,FACULTY OF COMPUTING & ENGINEERING,Sindh,Assistant Professor,MSc,University of Karachi,Pakistan,,,
1565,1566,Khalid Mahmood Dar,Mohammad Ali Jinnah University,FACULTY OF COMPUTING & ENGINEERING,Sindh,Assistant Professor,PhD,Shaheed Zulfikar Ali Bhutto Institute of Science and Technology,Pakistan,,,
1566,1567,Muhammad Kashif Khan,Mohammad Ali Jinnah University,FACULTY OF COMPUTING & ENGINEERING,Sindh,Assistant Professor,MS,Mohammad Ali Jinnah University,Pakistan,,"Artificial Intelligence, Human Computer Interaction, Machine Learning, and Data Mining.",
1567,1568,Nazish Nouman,Mohammad Ali Jinnah University,FACULTY OF COMPUTING & ENGINEERING,Sindh,Assistant Professor,MS,Jinnah University for Women,Pakistan,,"Human Computer Interactions,Semantic Web,Ubiquitous Computing",
1568,1569,Waheed Uddin Hyder,Mohammad Ali Jinnah University,FACULTY OF COMPUTING & ENGINEERING,Sindh,Assistant Professor,PhD,University of Malaga,Spain,,,
1569,1570,Muhammad Yaseen Khan,Mohammad Ali Jinnah University,FACULTY OF COMPUTING & ENGINEERING,Sindh,Senior Lecturer,MS,PAF-Karachi Institute of Economics and Technology,Pakistan,,"Text Summarization, Machine Learning, Information Retrieval, Influence Mining, Affective Computing, Psychology and Computational Linguistics.",
1570,1571,Fouzia Naz,Mohammad Ali Jinnah University,FACULTY OF COMPUTING & ENGINEERING,Sindh,Lecturer,MS,Mohammad Ali Jinnah University,Pakistan,,,
1571,1572,Ghulam Mujtaba,Mohammad Ali Jinnah University,FACULTY OF COMPUTING & ENGINEERING,Sindh,Lecturer,MS,"International Islamic University,Islamabad",Pakistan,,"Mobile Computing, Human Computer Interaction and Mobile Game Development.",
1572,1573,Hafiz Muhammad Sohaib Azhar,Mohammad Ali Jinnah University,FACULTY OF COMPUTING & ENGINEERING,Sindh,Lecturer,M.E,NED University of Engineering And Technology,Pakistan,,"Telemedicine, Telematics, Optical-Laser Communication System, Satellite Communication, Micro wave [LOS] Communication System etc.",
1573,1574,Moomal Turk,Mohammad Ali Jinnah University,FACULTY OF COMPUTING & ENGINEERING,Sindh,Lecturer,M.E,Mehran University of Engineering & Technology,Pakistan,,,
1574,1575,Syed Imran Ali,Mohammad Ali Jinnah University,FACULTY OF COMPUTING & ENGINEERING,Sindh,Lecturer,MS,Mohammad Ali Jinnah University,Pakistan,,,
1575,1576,Waqar Saleem,Habib University,Computer Science,Sindh,Assistant Professor,PhD,Max Planck Institute for Computer Science,germany,,Digital processing and management tools for 2D and 3D shape repositories; geometric modeling; data structures; advanced programming; algorithm analysis; digital computer logic; computer architecture; linear algebra; discrete mathematics.,
1576,1577,Shah Jamal Alam,Habib University,Computer Science,Sindh,Assistant Professor/Director,PhD,Manchester Metropolitan University,UK,,"Social network analysis,Land use change,Climate change adaptation,Infectious disease transmission,Social anthropology",
1577,1578,Umair Azfar Khan,Habib University,Computer Science,Sindh,Assistant Professor,PhD,"Kyushu University,Fukuoka",Japan,,Artificial Intelligence and Planning Graphs,
1578,1579,Syeda Saleha Raza,Habib University,Computer Science,Sindh,Assistant Professor,PhD,"Institute of Business Administration,Karachi",Pakistan,,"Robotics, Machine Learning, Probabilistic Reasoning and Computational Intelligence",
1579,1580,Shahid Hussain,Habib University,Computer Science,Sindh,Assistant Professor,PhD,King Abdullah University of Science and Technology,Saudi Arabia,,"design and analysis of efficient algorithms, graph theory, discrete and combinatorial optimization, and machine learning/data mining.",
1580,1581,Taj Muhammad Khan,Habib University,Computer Science,Sindh,Assistant Professor,PhD,INRIA Saclay Ile-de-France,France,,"Computer Architecture, Compiler Optimizations and Natural Languages",
1586,1587,Dost Muhammad Khan,Islamia University Bhawalpur,Computer Science & IT,Punjab,Assistant Professor,PhD,University of Technology,Mauritius,,"RDBMS, Distributed Systems, Multi-Agent System (MAS), Data Minning and Data Minning Techniques.",
1588,1589,Waqar Aslam,Islamia University Bhawalpur,Computer Science & IT,Punjab,Assistant Professor,PhD,Eindhoven University of Technology (TU/e),Netherland,,,HEC Approved Supervisor
1591,1592,Malik Muhammad Saad Missen,Islamia University Bhawalpur,Computer Science & IT,Punjab,Assistant Professor,PostDoc,Université de la Rochelle,France,2015.0,"Information Retrieval/Processing,Web Usability Engineering,Software Quality Assurance",
1592,1593,Mamoona Naveed Asghar,Islamia University Bhawalpur,Computer Science & IT,Punjab,Assistant Professor,PhD,University of Essex,UK,,"Research interests include the security aspects of multimedia (Audio and Video), Compression, Encryption, Steganography, Secure transmission and the Key management schemes for standard and scalable video.",
1593,1594,Imran Sarwar Bajwa,Islamia University Bhawalpur,Computer Science & IT,Punjab,Assistant Professor,PhD,University of Birmingham,UK,,"Natural Language Processing, Automated Software Engineering, Image Processing, Machine Translation",HEC Approved Supervisor
1594,1595,Nadeem Akhtar,Islamia University Bhawalpur,Computer Science & IT,Punjab,Assistant Professor,PhD,University of South Brittany,France,,"Formal software engineering, Software architecture, Multi-agent robotics",HEC Approved Supervisor
1596,1597,Mujtaba Husnain,Islamia University Bhawalpur,Computer Science & IT,Punjab,Assistant Professor,MSCS,University of Management and Technology,Pakistan,2006.0,,On Study Leave
1598,1599,Muhammad Ateeq,Islamia University Bhawalpur,Computer Science & IT,Punjab,Assistant Professor,MSCS,"COMSATS Institute of Information Technology,Wah Cantt",Pakistan,, Computer Networks,
1608,1609,Waheed Anwer,Islamia University Bhawalpur,Computer Science & IT,Punjab,Lecturer,MCS,The Islamia University of Bahawalpur ,Pakistan,2004.0," Programming, Networking",
1610,1611,Saima Abdullah,Islamia University Bhawalpur,Computer Science & IT,Punjab,Assistant Professor,PhD,University of Essex,UK,,"Wireless sensor networks. Internet of things(IoT), Scheduling patterns of sensor messages, Node failures management, QoS aware message scheduling",
1615,1616,Muhammad Omar,Islamia University Bhawalpur,Computer Science & IT,Punjab,Lecturer,MSCS,University of Engineering and Technology,Pakistan,2006.0,,On Study Leave
1616,1617,Shahzad Mumtaz,Islamia University Bhawalpur,Computer Science & IT,Punjab,Lecturer,PhD,"Aston University, Birmingham",UK,,"Machine Learning/Data Science/Data Mining/Statistical Pattern Analysis in general but with a particular interest in probabilistic approaches of high-dimensional data projection approaches and their use in answering questions related to biological problems related to protein analytics, patient specific analytics etc.",
1618,1619,Nazir Ahmad,Islamia University Bhawalpur,Computer Science & IT,Punjab,Assistant Professor,MSCS,University of Agriculture Faisalabad,Pakistan,2011.0,,
1629,1630,Mehdi Hassan,University of Chakwal,Computer Science,Punjab,Assistant Professor,PhD,Pakistan Institute of Engineering and Applied Sciences,Pakistan,,Machine Learning,
1630,1631,Imran Faizi,University of Chakwal,Computer Science,Punjab,Lecturer,M.Phil,"University of Engineering and Technology,Taxila",Pakistan,,Data Mining and Network Programming,PhD in progress
1631,1632,Farooq Bilal,University of Chakwal,Computer Science,Punjab,Lecturer,M.Phil,"University of Engineering and Technology,Taxila",Pakistan,,Wireless Sensor Network,PhD in progress
1632,1633,Imran Ullah,University of Chakwal,Computer Science,Punjab,Lecturer,M.Phil,Centre for Advanced Studies in Engineering,Pakistan,,Computer Networks,
1656,1657,Muhammad Kashif Hanif,Government College University Faisalabad,Computer Science,Punjab,Assistant Professor,PhD,Hamburg University of Technology,germany,2014.0,,
1657,1658,Sami Ullah,Government College University Faisalabad,Computer Science,Punjab,Assistant Professor,MS,"University of Agriculture, Faisalabad",Pakistan,,,
1659,1660,Sh. Muhammad Aamir,Government College University Faisalabad,Computer Science,Punjab,Lecturer,MS,"Government College University, Faisalabad",Pakistan,,,
1660,1661,Muhammad Irfan Khan,Government College University Faisalabad,Computer Science,Punjab,Lecturer,MS,"University of Agriculture, Faisalabad",Pakistan,,,
1662,1663,Tahir Abdullah,Government College University Faisalabad,Computer Science,Punjab,Lecturer,MS,University of the Punjab,Pakistan,,,
1663,1664,Rao Sohail Iqbal Asif,Government College University Faisalabad,Computer Science,Punjab,Lecturer,MS,University of Central Punjab,Pakistan,,,
1664,1665,Nafees Ayub,Government College University Faisalabad,Computer Science,Punjab,Lecturer,MS,"Government College University, Faisalabad",Pakistan,,,
1665,1666,Asma Sajid,Government College University Faisalabad,Computer Science,Punjab,Lecturer,MS,National University of Sciences and Technology,Pakistan,2013.0,,
1666,1667,Uzma Jamil,Government College University Faisalabad,Computer Science,Punjab,Lecturer,PhD,"Bahria University,Islamabad",Pakistan,2017.0,,
1670,1671,Muhammad Aater Javed,Government College University Faisalabad,Computer Science,Punjab,Lab Engineer,MS,"University of Agriculture, Faisalabad",Pakistan,,,
1671,1672,Waqar Ahmad,"National Textile University,Faisalabad",Computer Science,Punjab,Assistant Professor/Chairman,MSCS,Blekinge Institute of Technology,Sweden,2010.0,"Data Mining with emphasis of big data analytics, Machine Learning, Applications of Machine learning and data mining, Decision support system, Applications of machine learning in health sciences",
1672,1673,Muhammad Asif Habib,"National Textile University,Faisalabad",Computer Science,Punjab,Assistant Professor,PhD,JKU,Austria,,"Computer Networks (Information Network Security (Access Control/Authorization), Cloud Computing Security)",HEC Approved Supervisor
1673,1674,Muhammad Asif,"National Textile University,Faisalabad",Computer Science,Punjab,Assistant Professor,PhD,Asian Institute of Technology,Thailand,,,HEC Approved Supervisor
1674,1675,Rehan Ashraf,"National Textile University,Faisalabad",Computer Science,Punjab,Assistant Professor,PhD,"University of Engineering and Technology,Taxila",Pakistan,,"Image classification, Image retrieval, Content-Based Image Retrieval, Machine learning, Computer vision",
1675,1676,Mudassar Ahmad,"National Textile University,Faisalabad",Computer Science,Punjab,Assistant Professor,PhD,University of Technology,Malaysia,,,
1676,1677,Sohail Jabbar,"National Textile University,Faisalabad",Computer Science,Punjab,Assistant Professor,PhD,"Bahria University,Islamabad",Pakistan,,Wireless Communication and Networks,
1677,1678,Nadeem Faisal,"National Textile University,Faisalabad",Computer Science,Punjab,Lecturer,PhD,University of Oviedo,Spain,2017.0,"E-commerce, usability testing, User interface design, User acceptance testing, User experience design, Databases, Requirement engineering & analysis, Human-computer-interaction.",
1678,1679,Haseeb Ahmad,"National Textile University,Faisalabad",Computer Science,Punjab,Assistant Professor,PhD,Beijing University of Posts & Telecommunications,China,2017.0,"Data Mining (Classification, Prediction, Online Social Networks, Recommender Systems and other similar topics), Information Security (Privacy preservation, Authentication and other similar topics).",
1679,1680,Shahbaz Ahmed,"National Textile University,Faisalabad",Computer Science,Punjab,Assistant Professor,MSCS,"University of Agriculture, Faisalabad",Pakistan,2005.0,"Geographical Information System, Advanced theory of Computation, Big Data Analytics",
1680,1681,Mubeen Aslam,"National Textile University,Faisalabad",Computer Science,Punjab,Assistant Professor,MSCS,"University of Agriculture, Faisalabad",Pakistan,,,
1681,1682,Muhammad Adeel,"National Textile University,Faisalabad",Computer Science,Punjab,Lecturer,MSCS,"Government College University,Faisalabad",Pakistan,2011.0,,
1682,1683,Muhammad Shahid,"National Textile University,Faisalabad",Computer Science,Punjab,Lecturer,MSSE,Linköping University,Sweden,2008.0,"Software Engineering, Model-Based Software Engineering, Model-Based Testing, Software Architecture and Design, Software Process Improvement, Formal Methods, Model Checking, Software Quality Assurance, Software Testing, Programming Techniques, Parallel Programming, Mobile Computing, Autimated Testing",
1683,1684,Nasir Mahmood,"National Textile University,Faisalabad",Computer Science,Punjab,Lecturer,MSc,"University of Engineering and Technology,Taxila",Pakistan,2009.0,"Computer Architecture, Operating System, Computer Networks",
1684,1685,Umer Ali Khan,"National Textile University,Faisalabad",Computer Science,Punjab,Lecturer,MSSE,"University of Engineering and Technology,Taxila",Pakistan,,,
1685,1686,Shahbaz Ahmad Sahi,"National Textile University,Faisalabad",Computer Science,Punjab,Lecturer,MSCS,National Textile University,Pakistan,2014.0,"Research Paper Recommender Systems (Co-Citation & Bibliographic Analysis, Content and Metadata based Recommendation), Information Retrieval in Digital Libraries (Rule based information extraction from PDF sources)",
1686,1687,Muhammad,"National Textile University,Faisalabad",Computer Science,Punjab,Lecturer,MSIT,National University of Sciences and Technology,Pakistan,2016.0,"Wireless Sensor Networks (WSN), Wireless Body Area Networks (WBAN), Internet of Things (IoT), Energy Harvesting (EH)",
1687,1688,Muhammad Ayzed Mirza,"National Textile University,Faisalabad",Computer Science,Punjab,Lecturer,MSCS,National Textile University,Pakistan,,"Wireless Networks, Cognitive Radio Networks.",
1688,1689,Muhammad Raheel Zafar,"National Textile University,Faisalabad",Computer Science,Punjab,Lecturer,MSCS,"University of Agriculture, Faisalabad",Pakistan,,,
1689,1690,Ammar Rafiq,NFC Institute of Engineering and Fertilizer Research,Computer Science,Punjab,Head of Department,MS,National University of Sciences and Technology,Pakistan,,"Network Techonologies, Information Technology",PhD in progress
1690,1691,Muhammad Asim Mubarik,NFC Institute of Engineering and Fertilizer Research,Computer Science,Punjab,Assistant Professor,MS,National University of Sciences and Technology,Pakistan,,"Programming, Networks",PhD in progress
1692,1693,Rasool Bukhsh,NFC Institute of Engineering and Fertilizer Research,Computer Science,Punjab,Lecturer,MS,"COMSATS Institute of Information Technology,Islamabad",Pakistan,,,
1693,1694,Awais Bilal,NFC Institute of Engineering and Fertilizer Research,Computer Science,Punjab,Lecturer,MS,National University of Sciences and Technology,Pakistan,,,
1694,1695,Anum Ejaz,NFC Institute of Engineering and Fertilizer Research,Computer Science,Punjab,Lecturer,MS,National Textile University,Pakistan,,Software Engineering,
1695,1696,Aden Iqbal,NFC Institute of Engineering and Fertilizer Research,Computer Science,Punjab,Lecturer,MS,National Textile University,Pakistan,,,
1696,1697,Amna Yasin,NFC Institute of Engineering and Fertilizer Research,Computer Science,Punjab,Lecturer,MS,"COMSATS Institute of Information Technology,Islamabad",Pakistan,,,
1697,1698,Fiaz Waheed,NFC Institute of Engineering and Fertilizer Research,Computer Science,Punjab,Lab Engineer,BS,University of Engineering and Technology,Pakistan,,,MS in progress
1698,1699,Najam Farooq,NFC Institute of Engineering and Fertilizer Research,Computer Science,Punjab,Lab Engineer,BSc,"Government College University,Faisalabad",Pakistan,,,
1699,1700,Tanveer Younis,NFC Institute of Engineering and Fertilizer Research,Computer Science,Punjab,Lab Engineer,BS,University of Engineering and Technology,Pakistan,,,MS in progress
1700,1701,Muhammad Sheraz Arshad,"Riphah University,Faisalabad",Computer Science,Punjab,Assistant Professor/Principal,PhD,Universiti Teknologi PETRONAS,Malaysia,,,
1701,1702,Mudassar Ahmed,"Riphah University,Faisalabad",Computer Science,Punjab,Assistant Professor,PhD,Universiti Teknologi PETRONAS,Malaysia,,,
1702,1703,Ijaz Ali Shoukat,"Riphah University,Faisalabad",Computer Science,Punjab,Assistant Professor,PhD,Universiti Teknologi PETRONAS,Malaysia,,,
1703,1704,Uzair Saeed,"Riphah University,Faisalabad",Computer Science,Punjab,Assistant Professor,MS,Nottingham Trent University,UK,,,
1704,1705,Zohaib Latif,"Riphah University,Faisalabad",Computer Science,Punjab,Assistant Professor,MS,University of Glasgow,UK,,,
1705,1706,Muhammad Waleed,"Riphah University,Faisalabad",Computer Science,Punjab,Assistant Professor,MS,"University of Agriculture, Faisalabad",Pakistan,,,
1706,1707,Shahid Mehmood,"Riphah University,Faisalabad",Computer Science,Punjab,Lecturer,MSc,Coventry University,UK,,,
1707,1708,Usman Ahmed,"Riphah University,Faisalabad",Computer Science,Punjab,Lecturer,MS,University of Engineering and Technology,Pakistan,,,
1709,1710,Tahir Farooq,"Riphah University,Faisalabad",Computer Science,Punjab,Lecturer,BS,National Textile University,Pakistan,,,MS in progress
1711,1712,Mohsan Rehman,"Riphah University,Faisalabad",Computer Science,Punjab,Teaching Fellow,BS,"Riphah International University,Faisalabad",Pakistan,,,
1712,1713,Shehla Ali,"Riphah University,Faisalabad",Computer Science,Punjab,Lecturer,MS,"University of Agriculture, Faisalabad",Pakistan,,,
1713,1714,Aysha Ayub,"Riphah University,Faisalabad",Computer Science,Punjab,Lecturer,MS,Lahore College for Women University,Pakistan,,,
1714,1715,Tallataf Rasheed,"Riphah University,Faisalabad",Computer Science,Punjab,Lecturer,MS,National University of Sciences and Technology,Pakistan,,,
1715,1716,Fakhar-ul-Islam,Gift University,Computer Science,Punjab,Professor/Dean,MSc,George Washington University,USA,,,
1716,1717,Fahad Javed,Gift University,Computer Science,Punjab,Assistant Professor,PhD,Lahore University of Management Sciences,Pakistan,,,
1717,1718,Zeyad Amin,Gift University,Computer Science,Punjab,Assistant Professor/HoD ,MS,"FAST– National University of Computer and Emerging Sciences,Lahore",Pakistan,,,
1718,1719,Muhammad Shakeel,Gift University,Computer Science,Punjab,Assistant Professor,MSc,"Australian National University, Caneberra",Australia,,,
1719,1720,Muhammad Ziad Nayyar,Gift University,Computer Science,Punjab,Assistant Professor,MS,Government College University,Pakistan,,,PhD in progress
1720,1721,Numan Sheikh,Gift University,Computer Science,Punjab,Assistant Professor,MS,Lahore University of Management Sciences,Pakistan,,,PhD in progress
1721,1722,Zulfiqar Ahmad,Gift University,Computer Science,Punjab,Assistant Professor,M.Phil,National College of Business Administration and Economics,Pakistan,,,PhD in progress
1722,1723,Muhammad Junaid Malik,Gift University,Computer Science,Punjab,Assistant Professor,MS,"COMSATS Institute of Information Technology,Wah Cantt",Pakistan,,,PhD in progress
1723,1724,Faiza Ayub Syed,Gift University,Computer Science,Punjab,Lecturer,MS,"University of Engineering and Technology,Taxila",Pakistan,,,
